iter,step,fold,acc,prec,rec,f1score
0,2,0,88.013,88.727,88.013,87.936
1,2,0,87.382,88.222,87.382,87.287
2,2,0,86.751,87.725,86.751,86.636
3,2,0,85.804,86.996,85.804,85.655
4,2,0,85.489,86.756,85.489,85.326
5,2,0,85.174,86.519,85.174,84.997
6,2,0,85.174,86.519,85.174,84.997
7,2,0,85.174,86.519,85.174,84.997
8,2,0,84.858,86.283,84.858,84.667
9,2,0,84.858,86.283,84.858,84.667
10,2,0,84.543,86.049,84.543,84.336
11,2,0,84.227,85.622,84.227,84.028
12,2,0,84.227,85.622,84.227,84.028
13,2,0,84.227,85.622,84.227,84.028
14,2,0,84.543,86.049,84.543,84.336
15,2,0,83.912,85.386,83.912,83.697
16,2,0,84.858,86.481,84.858,84.644
17,2,0,84.543,86.252,84.543,84.312
18,2,0,84.543,86.252,84.543,84.312
19,2,0,84.858,86.481,84.858,84.644
20,2,0,84.858,86.481,84.858,84.644
21,2,0,84.858,86.481,84.858,84.644
22,2,0,84.858,86.481,84.858,84.644
23,2,0,84.858,86.481,84.858,84.644
24,2,0,84.858,86.481,84.858,84.644
25,2,0,84.858,86.481,84.858,84.644
26,2,0,84.858,86.481,84.858,84.644
27,2,0,84.858,86.481,84.858,84.644
28,2,0,84.858,86.481,84.858,84.644
29,2,0,84.858,86.481,84.858,84.644
30,2,0,84.858,86.283,84.858,84.667
31,2,0,84.858,86.283,84.858,84.667
32,2,0,84.858,86.283,84.858,84.667
33,2,0,84.858,86.283,84.858,84.667
34,2,0,84.858,86.283,84.858,84.667
35,2,0,84.543,86.049,84.543,84.336
36,2,0,84.543,86.049,84.543,84.336
37,2,0,84.227,85.816,84.227,84.005
38,2,0,83.912,85.586,83.912,83.672
39,2,0,83.596,85.152,83.596,83.365
40,2,0,83.596,85.152,83.596,83.365
41,2,0,83.281,84.723,83.281,83.058
42,2,0,83.281,84.723,83.281,83.058
43,2,0,83.281,84.723,83.281,83.058
44,2,0,83.281,84.723,83.281,83.058
45,2,0,83.281,84.723,83.281,83.058
46,2,0,83.281,84.723,83.281,83.058
47,2,0,83.281,84.723,83.281,83.058
48,2,0,83.281,84.723,83.281,83.058
49,2,0,83.281,84.723,83.281,83.058
50,2,0,83.281,84.723,83.281,83.058
51,2,0,83.281,84.723,83.281,83.058
52,2,0,83.281,84.723,83.281,83.058
53,2,0,83.281,84.723,83.281,83.058
54,2,0,83.281,84.723,83.281,83.058
55,2,0,83.281,84.723,83.281,83.058
56,2,0,83.281,84.723,83.281,83.058
57,2,0,83.281,84.723,83.281,83.058
58,2,0,83.281,84.723,83.281,83.058
59,2,0,83.281,84.723,83.281,83.058
60,2,0,82.965,84.487,82.965,82.725
61,2,0,82.965,84.487,82.965,82.725
62,2,0,82.965,84.487,82.965,82.725
63,2,0,82.965,84.487,82.965,82.725
64,2,0,82.965,84.487,82.965,82.725
65,2,0,82.65,84.06,82.65,82.418
66,2,0,82.65,84.06,82.65,82.418
67,2,0,82.65,84.06,82.65,82.418
68,2,0,82.65,84.06,82.65,82.418
69,2,0,82.65,84.06,82.65,82.418
70,2,0,82.65,84.06,82.65,82.418
71,2,0,82.65,84.06,82.65,82.418
72,2,0,82.65,84.06,82.65,82.418
73,2,0,82.334,83.822,82.334,82.085
74,2,0,82.334,83.822,82.334,82.085
75,2,0,82.334,83.822,82.334,82.085
76,2,0,82.334,83.822,82.334,82.085
77,2,0,82.334,83.822,82.334,82.085
78,2,0,82.334,83.822,82.334,82.085
79,2,0,82.334,83.822,82.334,82.085
80,2,0,82.334,83.822,82.334,82.085
81,2,0,82.334,83.822,82.334,82.085
82,2,0,82.334,83.822,82.334,82.085
83,2,0,82.334,83.822,82.334,82.085
84,2,0,82.334,83.822,82.334,82.085
85,2,0,82.019,83.585,82.019,81.751
86,2,0,82.019,83.585,82.019,81.751
87,2,0,82.019,83.585,82.019,81.751
88,2,0,82.019,83.585,82.019,81.751
89,2,0,82.019,83.585,82.019,81.751
90,2,0,82.019,83.585,82.019,81.751
91,2,0,82.019,83.585,82.019,81.751
92,2,0,82.019,83.585,82.019,81.751
93,2,0,82.019,83.585,82.019,81.751
94,2,0,82.019,83.585,82.019,81.751
95,2,0,82.019,83.585,82.019,81.751
96,2,0,82.019,83.585,82.019,81.751
97,2,0,82.019,83.585,82.019,81.751
98,2,0,82.019,83.585,82.019,81.751
99,2,0,82.019,83.585,82.019,81.751
100,2,0,82.019,83.585,82.019,81.751
0,2,1,87.697,88.591,87.697,87.579
1,2,1,87.066,87.939,87.066,86.942
2,2,1,86.751,87.69,86.751,86.615
3,2,1,86.751,87.69,86.751,86.615
4,2,1,86.751,87.69,86.751,86.615
5,2,1,86.435,87.443,86.435,86.287
6,2,1,86.751,87.854,86.751,86.597
7,2,1,86.751,87.854,86.751,86.597
8,2,1,86.12,87.373,86.12,85.938
9,2,1,86.12,87.373,86.12,85.938
10,2,1,86.12,87.373,86.12,85.938
11,2,1,85.174,86.296,85.174,84.991
12,2,1,85.174,86.133,85.174,85.012
13,2,1,85.174,86.133,85.174,85.012
14,2,1,85.174,86.133,85.174,85.012
15,2,1,84.858,85.885,84.858,84.682
16,2,1,84.858,86.053,84.858,84.66
17,2,1,84.543,85.811,84.543,84.329
18,2,1,84.543,85.638,84.543,84.352
19,2,1,84.543,85.638,84.543,84.352
20,2,1,83.912,84.98,83.912,83.713
21,2,1,83.912,84.98,83.912,83.713
22,2,1,83.281,84.487,83.281,83.049
23,2,1,82.965,84.243,82.965,82.716
24,2,1,82.965,84.243,82.965,82.716
25,2,1,82.965,84.243,82.965,82.716
26,2,1,82.965,84.243,82.965,82.716
27,2,1,82.965,84.243,82.965,82.716
28,2,1,82.965,84.243,82.965,82.716
29,2,1,82.965,84.243,82.965,82.716
30,2,1,83.281,84.487,83.281,83.049
31,2,1,82.965,84.243,82.965,82.716
32,2,1,82.334,83.259,82.334,82.129
33,2,1,82.019,82.86,82.019,81.823
34,2,1,82.019,82.86,82.019,81.823
35,2,1,81.703,82.603,81.703,81.491
36,2,1,81.703,82.603,81.703,81.491
37,2,1,81.388,82.347,81.388,81.158
38,2,1,81.388,82.347,81.388,81.158
39,2,1,81.388,82.347,81.388,81.158
40,2,1,81.388,82.347,81.388,81.158
41,2,1,81.073,81.947,81.073,80.853
42,2,1,81.073,81.947,81.073,80.853
43,2,1,81.073,81.947,81.073,80.853
44,2,1,80.757,81.84,80.757,80.491
45,2,1,80.442,81.433,80.442,80.186
46,2,1,80.757,81.84,80.757,80.491
47,2,1,80.757,81.84,80.757,80.491
48,2,1,80.757,81.84,80.757,80.491
49,2,1,80.757,81.84,80.757,80.491
50,2,1,79.811,80.924,79.811,79.515
51,2,1,79.495,80.516,79.495,79.211
52,2,1,79.18,80.113,79.18,78.908
53,2,1,79.18,80.113,79.18,78.908
54,2,1,79.18,80.261,79.18,78.875
55,2,1,79.18,80.261,79.18,78.875
