iter,step,fold,acc,prec,rec,f1score
0,2,0,88.013,88.727,88.013,87.936
1,2,0,88.013,88.727,88.013,87.936
2,2,0,88.013,88.727,88.013,87.936
3,2,0,88.013,88.727,88.013,87.936
4,2,0,88.013,88.727,88.013,87.936
5,2,0,88.013,88.727,88.013,87.936
6,2,0,88.013,88.727,88.013,87.936
7,2,0,88.013,88.727,88.013,87.936
8,2,0,88.013,88.727,88.013,87.936
9,2,0,88.013,88.727,88.013,87.936
10,2,0,88.013,88.727,88.013,87.936
11,2,0,88.013,88.727,88.013,87.936
12,2,0,88.013,88.727,88.013,87.936
13,2,0,88.013,88.727,88.013,87.936
14,2,0,88.013,88.727,88.013,87.936
15,2,0,88.013,88.727,88.013,87.936
16,2,0,88.013,88.727,88.013,87.936
17,2,0,88.013,88.727,88.013,87.936
18,2,0,88.013,88.727,88.013,87.936
19,2,0,88.013,88.727,88.013,87.936
20,2,0,88.013,88.727,88.013,87.936
21,2,0,88.013,88.727,88.013,87.936
22,2,0,88.013,88.727,88.013,87.936
23,2,0,88.013,88.727,88.013,87.936
24,2,0,88.013,88.727,88.013,87.936
25,2,0,88.013,88.727,88.013,87.936
26,2,0,88.013,88.727,88.013,87.936
27,2,0,88.013,88.727,88.013,87.936
28,2,0,88.013,88.727,88.013,87.936
29,2,0,88.013,88.727,88.013,87.936
30,2,0,88.013,88.727,88.013,87.936
31,2,0,88.013,88.727,88.013,87.936
32,2,0,88.013,88.727,88.013,87.936
33,2,0,88.013,88.727,88.013,87.936
34,2,0,88.013,88.727,88.013,87.936
35,2,0,88.013,88.727,88.013,87.936
36,2,0,88.013,88.727,88.013,87.936
37,2,0,88.013,88.727,88.013,87.936
38,2,0,88.013,88.727,88.013,87.936
39,2,0,88.013,88.727,88.013,87.936
40,2,0,88.013,88.727,88.013,87.936
41,2,0,88.013,88.727,88.013,87.936
42,2,0,88.013,88.727,88.013,87.936
43,2,0,88.013,88.727,88.013,87.936
44,2,0,88.013,88.727,88.013,87.936
45,2,0,88.013,88.727,88.013,87.936
46,2,0,88.013,88.727,88.013,87.936
47,2,0,88.013,88.727,88.013,87.936
48,2,0,88.013,88.727,88.013,87.936
49,2,0,88.013,88.727,88.013,87.936
50,2,0,88.013,88.727,88.013,87.936
51,2,0,88.013,88.727,88.013,87.936
52,2,0,88.013,88.727,88.013,87.936
53,2,0,88.013,88.727,88.013,87.936
54,2,0,88.013,88.727,88.013,87.936
55,2,0,88.013,88.727,88.013,87.936
56,2,0,88.013,88.727,88.013,87.936
57,2,0,88.013,88.727,88.013,87.936
58,2,0,88.013,88.727,88.013,87.936
59,2,0,88.013,88.727,88.013,87.936
60,2,0,88.013,88.727,88.013,87.936
61,2,0,88.013,88.727,88.013,87.936
62,2,0,88.013,88.727,88.013,87.936
63,2,0,88.013,88.727,88.013,87.936
64,2,0,88.013,88.727,88.013,87.936
65,2,0,88.013,88.727,88.013,87.936
66,2,0,88.013,88.727,88.013,87.936
67,2,0,88.013,88.727,88.013,87.936
68,2,0,88.013,88.727,88.013,87.936
69,2,0,88.013,88.727,88.013,87.936
70,2,0,88.013,88.727,88.013,87.936
71,2,0,88.013,88.727,88.013,87.936
72,2,0,88.013,88.727,88.013,87.936
73,2,0,88.013,88.727,88.013,87.936
74,2,0,88.013,88.727,88.013,87.936
75,2,0,88.013,88.727,88.013,87.936
76,2,0,88.013,88.727,88.013,87.936
77,2,0,88.013,88.727,88.013,87.936
78,2,0,88.013,88.727,88.013,87.936
