iter,step,fold,acc,prec,rec,f1score
0,2,0,94.637,94.719,94.637,94.632
1,2,0,94.953,94.979,94.953,94.95
2,2,0,94.953,94.979,94.953,94.95
3,2,0,94.953,94.958,94.953,94.952
4,2,0,95.584,95.59,95.584,95.583
5,2,0,95.268,95.282,95.268,95.267
6,2,0,94.637,94.651,94.637,94.636
7,2,0,95.268,95.269,95.268,95.268
8,2,0,95.268,95.282,95.268,95.267
9,2,0,95.899,95.914,95.899,95.898
10,2,0,95.584,95.61,95.584,95.582
11,2,0,95.899,95.9,95.899,95.899
12,2,0,94.953,94.979,94.953,94.95
13,2,0,95.899,95.9,95.899,95.899
14,2,0,95.584,95.59,95.584,95.583
15,2,0,96.215,96.242,96.215,96.213
16,2,0,96.215,96.221,96.215,96.214
17,2,0,96.215,96.221,96.215,96.214
18,2,0,95.899,95.914,95.899,95.898
19,2,0,96.215,96.221,96.215,96.214
20,2,0,95.584,95.59,95.584,95.583
21,2,0,96.215,96.221,96.215,96.214
22,2,0,96.215,96.221,96.215,96.214
23,2,0,96.215,96.215,96.215,96.215
24,2,0,96.53,96.531,96.53,96.53
25,2,0,95.584,95.59,95.584,95.583
26,2,0,95.899,95.9,95.899,95.899
27,2,0,95.899,95.9,95.899,95.899
28,2,0,96.215,96.221,96.215,96.214
29,2,0,96.215,96.221,96.215,96.214
30,2,0,96.215,96.215,96.215,96.215
31,2,0,96.53,96.531,96.53,96.53
32,2,0,96.53,96.531,96.53,96.53
33,2,0,95.899,95.9,95.899,95.899
34,2,0,97.161,97.177,97.161,97.16
35,2,0,96.215,96.221,96.215,96.214
36,2,0,96.53,96.531,96.53,96.53
37,2,0,96.215,96.215,96.215,96.215
38,2,0,96.845,96.852,96.845,96.845
39,2,0,96.845,96.845,96.845,96.845
40,2,0,97.161,97.162,97.161,97.161
41,2,0,96.215,96.215,96.215,96.215
42,2,0,96.53,96.531,96.53,96.53
43,2,0,96.845,96.845,96.845,96.845
44,2,0,97.161,97.163,97.161,97.161
45,2,0,96.53,96.531,96.53,96.53
46,2,0,96.845,96.845,96.845,96.845
47,2,0,97.161,97.162,97.161,97.161
48,2,0,96.53,96.531,96.53,96.53
49,2,0,96.845,96.852,96.845,96.845
50,2,0,96.845,96.852,96.845,96.845
0,2,1,95.584,95.589,95.584,95.582
1,2,1,95.584,95.589,95.584,95.582
2,2,1,95.584,95.608,95.584,95.581
3,2,1,96.215,96.22,96.215,96.213
4,2,1,96.215,96.215,96.215,96.215
5,2,1,96.53,96.531,96.53,96.529
6,2,1,96.215,96.215,96.215,96.215
7,2,1,96.215,96.22,96.215,96.213
8,2,1,97.161,97.162,97.161,97.16
9,2,1,96.845,96.845,96.845,96.845
10,2,1,96.845,96.851,96.845,96.844
11,2,1,97.161,97.163,97.161,97.161
12,2,1,96.845,96.845,96.845,96.845
13,2,1,97.161,97.163,97.161,97.161
14,2,1,96.53,96.533,96.53,96.53
15,2,1,96.53,96.533,96.53,96.53
16,2,1,96.53,96.533,96.53,96.53
17,2,1,96.845,96.845,96.845,96.845
18,2,1,96.53,96.531,96.53,96.529
19,2,1,96.53,96.533,96.53,96.53
20,2,1,96.53,96.544,96.53,96.528
21,2,1,96.53,96.533,96.53,96.53
22,2,1,96.215,96.215,96.215,96.215
23,2,1,95.899,95.902,95.899,95.9
24,2,1,96.215,96.215,96.215,96.215
25,2,1,96.845,96.845,96.845,96.845
26,2,1,96.845,96.855,96.845,96.846
27,2,1,96.845,96.855,96.845,96.846
28,2,1,96.845,96.855,96.845,96.846
29,2,1,96.53,96.533,96.53,96.53
30,2,1,96.53,96.531,96.53,96.529
31,2,1,96.215,96.215,96.215,96.215
32,2,1,96.845,96.845,96.845,96.845
33,2,1,97.161,97.211,97.161,97.162
34,2,1,97.476,97.476,97.476,97.476
35,2,1,96.845,96.845,96.845,96.845
36,2,1,96.845,96.851,96.845,96.844
37,2,1,97.476,97.485,97.476,97.477
38,2,1,97.476,97.485,97.476,97.477
39,2,1,96.845,96.845,96.845,96.845
40,2,1,97.161,97.163,97.161,97.161
41,2,1,97.476,97.476,97.476,97.476
42,2,1,97.161,97.163,97.161,97.161
43,2,1,96.845,96.845,96.845,96.845
44,2,1,96.53,96.533,96.53,96.53
45,2,1,96.53,96.544,96.53,96.528
46,2,1,96.845,96.845,96.845,96.845
47,2,1,97.161,97.162,97.161,97.16
48,2,1,96.845,96.855,96.845,96.846
49,2,1,97.476,97.485,97.476,97.477
50,2,1,97.161,97.163,97.161,97.161
0,2,2,96.215,96.242,96.215,96.213
1,2,2,96.215,96.221,96.215,96.214
2,2,2,95.899,95.914,95.899,95.898
3,2,2,96.215,96.221,96.215,96.214
4,2,2,96.215,96.221,96.215,96.214
5,2,2,96.215,96.221,96.215,96.214
6,2,2,96.215,96.242,96.215,96.213
7,2,2,96.53,96.575,96.53,96.528
8,2,2,96.215,96.242,96.215,96.213
9,2,2,95.899,95.986,95.899,95.896
10,2,2,95.584,95.646,95.584,95.581
11,2,2,96.215,96.242,96.215,96.213
12,2,2,95.899,95.943,95.899,95.897
13,2,2,96.215,96.242,96.215,96.213
14,2,2,96.215,96.242,96.215,96.213
15,2,2,96.215,96.242,96.215,96.213
16,2,2,95.899,95.943,95.899,95.897
17,2,2,96.215,96.242,96.215,96.213
18,2,2,96.845,96.852,96.845,96.845
19,2,2,96.53,96.546,96.53,96.529
20,2,2,96.215,96.242,96.215,96.213
21,2,2,96.215,96.242,96.215,96.213
22,2,2,97.161,97.207,97.161,97.159
23,2,2,96.845,96.874,96.845,96.844
24,2,2,96.845,96.874,96.845,96.844
