iter,step,fold,acc,prec,rec,f1score
0,2,0,94.637,94.719,94.637,94.632
1,2,0,94.953,94.979,94.953,94.95
2,2,0,94.637,94.651,94.637,94.636
3,2,0,95.899,95.942,95.899,95.897
4,2,0,96.215,96.242,96.215,96.213
5,2,0,95.584,95.59,95.584,95.583
6,2,0,96.215,96.215,96.215,96.215
7,2,0,95.584,95.59,95.584,95.583
8,2,0,95.584,95.592,95.584,95.584
9,2,0,96.53,96.532,96.53,96.53
10,2,0,96.53,96.548,96.53,96.53
11,2,0,96.53,96.532,96.53,96.53
12,2,0,96.53,96.532,96.53,96.53
13,2,0,96.53,96.532,96.53,96.53
14,2,0,96.53,96.532,96.53,96.53
15,2,0,96.845,96.845,96.845,96.845
16,2,0,97.792,97.794,97.792,97.792
17,2,0,97.476,97.508,97.476,97.477
18,2,0,98.107,98.115,98.107,98.107
19,2,0,97.476,97.485,97.476,97.477
20,2,0,97.476,97.508,97.476,97.477
21,2,0,97.476,97.485,97.476,97.477
22,2,0,97.792,97.81,97.792,97.792
23,2,0,97.792,97.794,97.792,97.792
24,2,0,97.161,97.179,97.161,97.161
25,2,0,98.107,98.115,98.107,98.107
26,2,0,97.476,97.485,97.476,97.477
27,2,0,97.476,97.508,97.476,97.477
28,2,0,97.161,97.179,97.161,97.161
29,2,0,96.845,96.854,96.845,96.846
30,2,0,97.476,97.485,97.476,97.477
31,2,0,97.476,97.485,97.476,97.477
32,2,0,97.792,97.81,97.792,97.792
33,2,0,98.107,98.115,98.107,98.107
34,2,0,97.476,97.485,97.476,97.477
35,2,0,98.107,98.115,98.107,98.107
36,2,0,98.107,98.139,98.107,98.107
37,2,0,97.792,97.841,97.792,97.792
38,2,0,97.792,97.81,97.792,97.792
39,2,0,98.107,98.139,98.107,98.107
40,2,0,97.792,97.81,97.792,97.792
41,2,0,97.792,97.81,97.792,97.792
42,2,0,96.845,96.877,96.845,96.846
43,2,0,97.476,97.508,97.476,97.477
44,2,0,97.792,97.841,97.792,97.792
45,2,0,98.107,98.139,98.107,98.107
46,2,0,97.792,97.841,97.792,97.792
47,2,0,97.476,97.485,97.476,97.477
48,2,0,97.792,97.81,97.792,97.792
49,2,0,97.792,97.841,97.792,97.792
50,2,0,98.107,98.139,98.107,98.107
0,2,1,95.584,95.589,95.584,95.582
1,2,1,95.584,95.589,95.584,95.582
2,2,1,96.53,96.544,96.53,96.528
3,2,1,97.161,97.176,97.161,97.16
4,2,1,97.476,97.483,97.476,97.476
5,2,1,96.53,96.544,96.53,96.528
6,2,1,97.476,97.476,97.476,97.476
7,2,1,96.845,96.851,96.845,96.844
8,2,1,97.476,97.483,97.476,97.476
9,2,1,96.845,96.851,96.845,96.844
10,2,1,96.215,96.24,96.215,96.212
11,2,1,97.161,97.176,97.161,97.16
12,2,1,96.215,96.24,96.215,96.212
13,2,1,97.161,97.176,97.161,97.16
14,2,1,97.161,97.163,97.161,97.161
15,2,1,97.161,97.163,97.161,97.161
16,2,1,97.161,97.162,97.161,97.16
17,2,1,97.476,97.485,97.476,97.477
18,2,1,97.792,97.793,97.792,97.791
19,2,1,98.423,98.424,98.423,98.422
20,2,1,97.792,97.811,97.792,97.792
21,2,1,98.107,98.116,98.107,98.108
22,2,1,99.054,99.055,99.054,99.053
23,2,1,99.369,99.369,99.369,99.369
24,2,1,98.423,98.425,98.423,98.423
25,2,1,97.792,97.793,97.792,97.791
26,2,1,99.054,99.056,99.054,99.054
27,2,1,99.054,99.056,99.054,99.054
28,2,1,98.107,98.107,98.107,98.107
29,2,1,97.792,97.793,97.792,97.791
30,2,1,98.107,98.114,98.107,98.107
31,2,1,98.107,98.114,98.107,98.107
32,2,1,98.738,98.747,98.738,98.738
33,2,1,97.792,97.794,97.792,97.792
34,2,1,98.107,98.107,98.107,98.107
35,2,1,98.107,98.107,98.107,98.107
36,2,1,98.423,98.425,98.423,98.423
37,2,1,98.107,98.116,98.107,98.108
38,2,1,98.738,98.747,98.738,98.738
39,2,1,98.423,98.425,98.423,98.423
40,2,1,97.792,97.794,97.792,97.792
41,2,1,98.107,98.116,98.107,98.108
42,2,1,98.423,98.441,98.423,98.423
43,2,1,97.792,97.793,97.792,97.791
44,2,1,98.423,98.425,98.423,98.423
45,2,1,98.738,98.738,98.738,98.738
46,2,1,97.792,97.793,97.792,97.791
47,2,1,98.107,98.107,98.107,98.107
48,2,1,97.792,97.794,97.792,97.792
49,2,1,98.107,98.116,98.107,98.108
50,2,1,98.107,98.116,98.107,98.108
0,2,2,96.215,96.242,96.215,96.213
1,2,2,96.215,96.221,96.215,96.214
2,2,2,97.161,97.162,97.161,97.161
3,2,2,97.476,97.506,97.476,97.475
4,2,2,98.423,98.44,98.423,98.422
5,2,2,98.738,98.746,98.738,98.738
6,2,2,97.792,97.808,97.792,97.791
7,2,2,98.738,98.746,98.738,98.738
8,2,2,98.423,98.44,98.423,98.422
9,2,2,98.107,98.115,98.107,98.107
10,2,2,97.792,97.793,97.792,97.792
11,2,2,98.107,98.115,98.107,98.107
12,2,2,98.107,98.107,98.107,98.107
13,2,2,97.792,97.793,97.792,97.792
14,2,2,98.107,98.115,98.107,98.107
15,2,2,97.476,97.483,97.476,97.476
16,2,2,97.476,97.483,97.476,97.476
17,2,2,98.738,98.738,98.738,98.738
18,2,2,98.423,98.44,98.423,98.422
19,2,2,98.423,98.424,98.423,98.423
20,2,2,98.423,98.44,98.423,98.422
21,2,2,98.738,98.738,98.738,98.738
22,2,2,98.107,98.115,98.107,98.107
23,2,2,98.738,98.738,98.738,98.738
24,2,2,99.369,99.369,99.369,99.369
