iter,step,fold,acc,prec,rec,f1score
0,2,0,94.637,94.719,94.637,94.632
1,2,0,94.637,94.678,94.637,94.634
2,2,0,94.006,94.046,94.006,94.003
3,2,0,94.637,94.651,94.637,94.636
4,2,0,94.322,94.347,94.322,94.319
5,2,0,94.953,95.013,94.953,94.949
6,2,0,94.953,95.013,94.953,94.949
7,2,0,94.637,94.678,94.637,94.634
8,2,0,94.637,94.678,94.637,94.634
9,2,0,94.953,94.979,94.953,94.95
10,2,0,94.637,94.678,94.637,94.634
11,2,0,94.953,95.062,94.953,94.947
12,2,0,95.268,95.409,95.268,95.261
13,2,0,95.268,95.352,95.268,95.264
14,2,0,94.953,95.062,94.953,94.947
15,2,0,96.53,96.574,96.53,96.528
16,2,0,96.215,96.278,96.215,96.212
17,2,0,95.268,95.352,95.268,95.264
18,2,0,96.53,96.574,96.53,96.528
19,2,0,95.584,95.645,95.584,95.58
20,2,0,94.953,95.013,94.953,94.949
21,2,0,95.899,95.914,95.899,95.898
22,2,0,95.268,95.31,95.268,95.265
23,2,0,95.584,95.61,95.584,95.582
24,2,0,95.268,95.409,95.268,95.261
25,2,0,95.268,95.352,95.268,95.264
26,2,0,94.953,95.062,94.953,94.947
27,2,0,95.899,95.985,95.899,95.895
28,2,0,95.584,95.61,95.584,95.582
29,2,0,95.584,95.645,95.584,95.58
30,2,0,95.584,95.645,95.584,95.58
31,2,0,95.584,95.61,95.584,95.582
32,2,0,95.899,95.942,95.899,95.897
33,2,0,95.268,95.31,95.268,95.265
34,2,0,94.953,94.979,94.953,94.95
35,2,0,94.953,94.979,94.953,94.95
36,2,0,94.637,94.678,94.637,94.634
37,2,0,95.268,95.31,95.268,95.265
38,2,0,94.637,94.678,94.637,94.634
39,2,0,94.637,94.678,94.637,94.634
40,2,0,94.637,94.678,94.637,94.634
41,2,0,95.268,95.31,95.268,95.265
42,2,0,95.584,95.61,95.584,95.582
43,2,0,95.268,95.31,95.268,95.265
44,2,0,94.953,94.979,94.953,94.95
45,2,0,95.584,95.61,95.584,95.582
46,2,0,95.584,95.61,95.584,95.582
47,2,0,95.899,95.914,95.899,95.898
48,2,0,95.899,95.914,95.899,95.898
49,2,0,95.899,95.914,95.899,95.898
50,2,0,95.899,95.942,95.899,95.897
0,2,1,95.584,95.589,95.584,95.582
1,2,1,94.637,94.649,94.637,94.635
2,2,1,95.899,95.912,95.899,95.897
3,2,1,95.899,95.94,95.899,95.895
4,2,1,95.899,95.94,95.899,95.895
5,2,1,96.215,96.24,96.215,96.212
6,2,1,95.268,95.307,95.268,95.264
7,2,1,95.584,95.642,95.584,95.579
8,2,1,95.899,95.94,95.899,95.895
9,2,1,95.899,95.912,95.899,95.897
10,2,1,96.215,96.24,96.215,96.212
11,2,1,95.899,95.912,95.899,95.897
12,2,1,96.215,96.22,96.215,96.213
13,2,1,96.215,96.22,96.215,96.213
14,2,1,95.268,95.281,95.268,95.266
15,2,1,95.268,95.281,95.268,95.266
16,2,1,95.584,95.608,95.584,95.581
17,2,1,95.899,95.912,95.899,95.897
18,2,1,95.584,95.584,95.584,95.584
19,2,1,95.899,95.912,95.899,95.897
20,2,1,96.53,96.531,96.53,96.529
21,2,1,95.899,95.94,95.899,95.895
22,2,1,95.899,95.912,95.899,95.897
23,2,1,95.899,95.912,95.899,95.897
24,2,1,95.268,95.281,95.268,95.266
25,2,1,95.584,95.589,95.584,95.582
26,2,1,95.584,95.589,95.584,95.582
27,2,1,95.584,95.589,95.584,95.582
28,2,1,95.899,95.912,95.899,95.897
29,2,1,95.584,95.589,95.584,95.582
30,2,1,95.268,95.281,95.268,95.266
31,2,1,95.268,95.269,95.268,95.267
32,2,1,95.899,95.9,95.899,95.898
33,2,1,95.268,95.281,95.268,95.266
34,2,1,95.268,95.269,95.268,95.267
35,2,1,94.637,94.638,94.637,94.636
36,2,1,95.584,95.589,95.584,95.582
37,2,1,95.268,95.281,95.268,95.266
38,2,1,95.584,95.589,95.584,95.582
39,2,1,95.899,95.912,95.899,95.897
40,2,1,94.953,94.976,94.953,94.949
41,2,1,95.584,95.608,95.584,95.581
42,2,1,96.215,96.22,96.215,96.213
43,2,1,95.584,95.608,95.584,95.581
44,2,1,95.584,95.608,95.584,95.581
45,2,1,95.584,95.589,95.584,95.582
46,2,1,95.584,95.608,95.584,95.581
47,2,1,95.899,95.912,95.899,95.897
48,2,1,95.899,95.912,95.899,95.897
49,2,1,95.899,95.912,95.899,95.897
50,2,1,95.899,95.912,95.899,95.897
0,2,2,96.215,96.242,96.215,96.213
1,2,2,95.899,95.914,95.899,95.898
2,2,2,96.215,96.221,96.215,96.214
3,2,2,95.899,95.914,95.899,95.898
4,2,2,96.215,96.242,96.215,96.213
5,2,2,95.899,95.914,95.899,95.898
6,2,2,96.215,96.242,96.215,96.213
7,2,2,96.215,96.242,96.215,96.213
8,2,2,95.899,95.914,95.899,95.898
9,2,2,95.899,95.943,95.899,95.897
10,2,2,95.899,95.943,95.899,95.897
11,2,2,96.215,96.242,96.215,96.213
12,2,2,95.899,95.914,95.899,95.898
13,2,2,96.53,96.546,96.53,96.529
14,2,2,95.899,95.914,95.899,95.898
15,2,2,96.215,96.221,96.215,96.214
16,2,2,96.215,96.242,96.215,96.213
17,2,2,96.53,96.531,96.53,96.53
18,2,2,96.53,96.531,96.53,96.53
19,2,2,96.53,96.531,96.53,96.53
20,2,2,96.53,96.531,96.53,96.53
21,2,2,96.845,96.852,96.845,96.845
22,2,2,96.845,96.852,96.845,96.845
23,2,2,96.53,96.531,96.53,96.53
24,2,2,96.845,96.852,96.845,96.845
25,2,2,96.845,96.852,96.845,96.845
26,2,2,96.53,96.531,96.53,96.53
27,2,2,95.899,95.914,95.899,95.898
28,2,2,96.845,96.852,96.845,96.845
29,2,2,96.53,96.546,96.53,96.529
30,2,2,96.53,96.531,96.53,96.53
31,2,2,96.215,96.221,96.215,96.214
32,2,2,96.845,96.852,96.845,96.845
33,2,2,96.53,96.531,96.53,96.53
34,2,2,96.215,96.221,96.215,96.214
35,2,2,96.215,96.221,96.215,96.214
36,2,2,96.215,96.221,96.215,96.214
37,2,2,96.215,96.221,96.215,96.214
38,2,2,96.53,96.531,96.53,96.53
39,2,2,96.845,96.852,96.845,96.845
40,2,2,96.53,96.531,96.53,96.53
41,2,2,97.161,97.177,97.161,97.16
42,2,2,97.161,97.162,97.161,97.161
43,2,2,97.476,97.483,97.476,97.476
44,2,2,96.845,96.845,96.845,96.845
45,2,2,96.845,96.845,96.845,96.845
46,2,2,96.53,96.531,96.53,96.53
47,2,2,96.845,96.852,96.845,96.845
48,2,2,96.215,96.221,96.215,96.214
49,2,2,97.161,97.162,97.161,97.161
