iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.965,65.931,65.853
2,2,0,65.931,65.965,65.931,65.853
3,2,0,65.931,65.965,65.931,65.853
4,2,0,65.931,65.965,65.931,65.853
5,2,0,65.931,65.965,65.931,65.853
6,2,0,64.984,65.046,64.984,64.869
7,2,0,64.984,65.046,64.984,64.869
8,2,0,64.984,65.046,64.984,64.869
9,2,0,64.984,65.046,64.984,64.869
10,2,0,64.984,65.046,64.984,64.869
11,2,0,64.984,65.046,64.984,64.869
12,2,0,64.984,65.046,64.984,64.869
13,2,0,64.984,65.046,64.984,64.869
14,2,0,64.984,65.046,64.984,64.869
15,2,0,64.984,65.046,64.984,64.869
16,2,0,64.984,65.046,64.984,64.869
17,2,0,64.984,65.046,64.984,64.869
18,2,0,64.984,65.046,64.984,64.869
19,2,0,64.984,65.046,64.984,64.869
20,2,0,64.984,65.046,64.984,64.869
21,2,0,64.984,65.046,64.984,64.869
22,2,0,64.984,65.046,64.984,64.869
23,2,0,64.984,65.046,64.984,64.869
24,2,0,64.984,65.046,64.984,64.869
25,2,0,64.984,65.046,64.984,64.869
26,2,0,64.984,65.046,64.984,64.869
27,2,0,64.984,65.046,64.984,64.869
28,2,0,64.984,65.046,64.984,64.869
29,2,0,64.984,65.046,64.984,64.869
30,2,0,64.984,65.046,64.984,64.869
31,2,0,64.984,65.046,64.984,64.869
32,2,0,65.615,65.715,65.615,65.475
33,2,0,65.615,65.715,65.615,65.475
34,2,0,65.615,65.715,65.615,65.475
35,2,0,65.615,65.715,65.615,65.475
36,2,0,65.615,65.715,65.615,65.475
37,2,0,65.615,65.715,65.615,65.475
38,2,0,65.615,65.715,65.615,65.475
39,2,0,65.615,65.715,65.615,65.475
40,2,0,65.615,65.715,65.615,65.475
41,2,0,65.615,65.715,65.615,65.475
42,2,0,65.615,65.715,65.615,65.475
43,2,0,65.615,65.715,65.615,65.475
44,2,0,65.615,65.715,65.615,65.475
45,2,0,65.615,65.715,65.615,65.475
46,2,0,65.615,65.715,65.615,65.475
47,2,0,65.615,65.715,65.615,65.475
48,2,0,65.615,65.715,65.615,65.475
49,2,0,65.615,65.715,65.615,65.475
50,2,0,65.615,65.715,65.615,65.475
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.038,64.032,64.038,63.87
2,2,1,64.038,64.032,64.038,63.87
3,2,1,64.038,64.032,64.038,63.87
4,2,1,64.038,64.032,64.038,63.87
5,2,1,64.038,64.032,64.038,63.87
6,2,1,64.038,64.032,64.038,63.87
7,2,1,64.038,64.032,64.038,63.87
8,2,1,64.038,64.032,64.038,63.87
9,2,1,64.038,64.032,64.038,63.87
10,2,1,64.038,64.032,64.038,63.87
11,2,1,64.038,64.032,64.038,63.87
12,2,1,64.038,64.032,64.038,63.87
13,2,1,64.038,64.032,64.038,63.87
14,2,1,64.038,64.032,64.038,63.87
15,2,1,64.038,64.032,64.038,63.87
16,2,1,64.038,64.032,64.038,63.87
17,2,1,64.038,64.032,64.038,63.87
18,2,1,64.038,64.032,64.038,63.87
19,2,1,64.038,64.032,64.038,63.87
20,2,1,64.038,64.032,64.038,63.87
21,2,1,64.038,64.032,64.038,63.87
22,2,1,64.038,64.032,64.038,63.87
23,2,1,64.038,64.032,64.038,63.87
24,2,1,64.038,64.032,64.038,63.87
25,2,1,64.038,64.032,64.038,63.87
26,2,1,64.038,64.032,64.038,63.87
27,2,1,64.038,64.032,64.038,63.87
28,2,1,64.038,64.032,64.038,63.87
29,2,1,64.038,64.032,64.038,63.87
30,2,1,64.038,64.032,64.038,63.87
31,2,1,64.038,64.032,64.038,63.87
32,2,1,64.038,64.032,64.038,63.87
33,2,1,64.038,64.032,64.038,63.87
34,2,1,64.038,64.032,64.038,63.87
35,2,1,64.038,64.032,64.038,63.87
36,2,1,64.038,64.032,64.038,63.87
37,2,1,64.038,64.032,64.038,63.87
38,2,1,64.038,64.032,64.038,63.87
39,2,1,64.038,64.032,64.038,63.87
40,2,1,64.038,64.032,64.038,63.87
41,2,1,64.038,64.032,64.038,63.87
42,2,1,64.038,64.032,64.038,63.87
43,2,1,64.038,64.032,64.038,63.87
44,2,1,64.038,64.032,64.038,63.87
45,2,1,64.038,64.032,64.038,63.87
46,2,1,64.038,64.032,64.038,63.87
47,2,1,64.038,64.032,64.038,63.87
48,2,1,64.038,64.032,64.038,63.87
49,2,1,64.038,64.032,64.038,63.87
50,2,1,64.038,64.032,64.038,63.87
0,2,2,66.562,66.645,66.562,66.473
1,2,2,66.562,66.645,66.562,66.473
2,2,2,66.562,66.645,66.562,66.473
3,2,2,66.562,66.645,66.562,66.473
4,2,2,66.562,66.645,66.562,66.473
5,2,2,66.562,66.645,66.562,66.473
6,2,2,66.562,66.645,66.562,66.473
7,2,2,66.562,66.645,66.562,66.473
8,2,2,66.562,66.645,66.562,66.473
9,2,2,66.562,66.645,66.562,66.473
10,2,2,66.562,66.645,66.562,66.473
11,2,2,66.562,66.645,66.562,66.473
12,2,2,66.562,66.645,66.562,66.473
13,2,2,66.562,66.645,66.562,66.473
14,2,2,67.508,67.657,67.508,67.386
15,2,2,67.508,67.657,67.508,67.386
16,2,2,67.508,67.657,67.508,67.386
17,2,2,67.508,67.657,67.508,67.386
18,2,2,67.508,67.657,67.508,67.386
19,2,2,67.508,67.657,67.508,67.386
20,2,2,67.508,67.657,67.508,67.386
21,2,2,67.508,67.657,67.508,67.386
22,2,2,67.508,67.657,67.508,67.386
23,2,2,67.508,67.657,67.508,67.386
24,2,2,67.508,67.657,67.508,67.386
25,2,2,67.508,67.657,67.508,67.386
26,2,2,67.508,67.657,67.508,67.386
27,2,2,67.508,67.657,67.508,67.386
28,2,2,67.508,67.657,67.508,67.386
29,2,2,67.508,67.657,67.508,67.386
30,2,2,67.508,67.657,67.508,67.386
31,2,2,67.508,67.657,67.508,67.386
32,2,2,67.508,67.657,67.508,67.386
33,2,2,67.508,67.657,67.508,67.386
34,2,2,67.508,67.657,67.508,67.386
35,2,2,67.508,67.657,67.508,67.386
36,2,2,67.508,67.657,67.508,67.386
37,2,2,67.508,67.657,67.508,67.386
38,2,2,67.508,67.657,67.508,67.386
39,2,2,67.508,67.657,67.508,67.386
40,2,2,67.508,67.657,67.508,67.386
41,2,2,67.508,67.657,67.508,67.386
42,2,2,67.508,67.657,67.508,67.386
43,2,2,67.508,67.657,67.508,67.386
44,2,2,67.508,67.657,67.508,67.386
45,2,2,67.508,67.657,67.508,67.386
46,2,2,67.508,67.657,67.508,67.386
47,2,2,67.508,67.657,67.508,67.386
48,2,2,67.508,67.657,67.508,67.386
49,2,2,67.508,67.657,67.508,67.386
50,2,2,67.508,67.657,67.508,67.386
0,5,0,65.931,65.965,65.931,65.853
1,5,0,65.931,65.965,65.931,65.853
2,5,0,65.931,65.965,65.931,65.853
3,5,0,65.931,65.965,65.931,65.853
4,5,0,65.931,65.965,65.931,65.853
5,5,0,65.931,65.965,65.931,65.853
6,5,0,65.931,65.965,65.931,65.853
7,5,0,65.931,65.965,65.931,65.853
8,5,0,65.931,65.965,65.931,65.853
9,5,0,65.931,65.965,65.931,65.853
10,5,0,66.246,66.295,66.246,66.158
11,5,0,66.246,66.295,66.246,66.158
12,5,0,66.246,66.295,66.246,66.158
13,5,0,66.246,66.295,66.246,66.158
14,5,0,66.562,66.626,66.562,66.463
15,5,0,66.562,66.626,66.562,66.463
16,5,0,66.562,66.626,66.562,66.463
17,5,0,66.562,66.626,66.562,66.463
18,5,0,66.562,66.626,66.562,66.463
19,5,0,66.562,66.626,66.562,66.463
20,5,0,66.562,66.626,66.562,66.463
0,5,1,64.038,64.032,64.038,63.87
1,5,1,64.038,64.032,64.038,63.87
2,5,1,64.038,64.032,64.038,63.87
3,5,1,64.038,64.032,64.038,63.87
4,5,1,64.038,64.032,64.038,63.87
5,5,1,64.038,64.032,64.038,63.87
6,5,1,64.038,64.032,64.038,63.87
7,5,1,64.038,64.032,64.038,63.87
8,5,1,64.353,64.362,64.353,64.171
9,5,1,64.353,64.362,64.353,64.171
10,5,1,64.353,64.362,64.353,64.171
11,5,1,64.353,64.362,64.353,64.171
12,5,1,64.353,64.362,64.353,64.171
13,5,1,64.353,64.362,64.353,64.171
14,5,1,64.353,64.362,64.353,64.171
15,5,1,64.353,64.362,64.353,64.171
16,5,1,64.353,64.362,64.353,64.171
17,5,1,64.353,64.362,64.353,64.171
18,5,1,64.353,64.362,64.353,64.171
19,5,1,64.353,64.362,64.353,64.171
20,5,1,64.353,64.362,64.353,64.171
0,5,2,66.562,66.645,66.562,66.473
1,5,2,66.562,66.645,66.562,66.473
2,5,2,66.562,66.645,66.562,66.473
3,5,2,66.562,66.645,66.562,66.473
4,5,2,66.562,66.645,66.562,66.473
5,5,2,66.562,66.645,66.562,66.473
6,5,2,67.508,67.657,67.508,67.386
7,5,2,67.508,67.657,67.508,67.386
8,5,2,67.508,67.657,67.508,67.386
9,5,2,67.508,67.657,67.508,67.386
10,5,2,67.508,67.657,67.508,67.386
11,5,2,67.508,67.657,67.508,67.386
12,5,2,67.508,67.657,67.508,67.386
13,5,2,67.508,67.657,67.508,67.386
14,5,2,67.508,67.657,67.508,67.386
15,5,2,67.508,67.657,67.508,67.386
16,5,2,67.508,67.657,67.508,67.386
17,5,2,67.508,67.657,67.508,67.386
18,5,2,67.508,67.657,67.508,67.386
19,5,2,67.508,67.657,67.508,67.386
20,5,2,67.508,67.657,67.508,67.386
0,10,0,65.931,65.965,65.931,65.853
1,10,0,65.931,65.965,65.931,65.853
2,10,0,65.931,65.965,65.931,65.853
3,10,0,65.931,65.965,65.931,65.853
4,10,0,65.931,65.965,65.931,65.853
5,10,0,65.931,65.965,65.931,65.853
6,10,0,65.931,65.965,65.931,65.853
7,10,0,66.246,66.322,66.246,66.135
8,10,0,66.246,66.322,66.246,66.135
9,10,0,66.246,66.322,66.246,66.135
10,10,0,66.246,66.322,66.246,66.135
0,10,1,64.038,64.032,64.038,63.87
1,10,1,64.038,64.032,64.038,63.87
2,10,1,64.038,64.032,64.038,63.87
3,10,1,64.038,64.032,64.038,63.87
4,10,1,64.038,64.032,64.038,63.87
5,10,1,64.038,64.032,64.038,63.87
6,10,1,64.038,64.032,64.038,63.87
7,10,1,64.038,64.032,64.038,63.87
8,10,1,64.038,64.032,64.038,63.87
9,10,1,64.038,64.032,64.038,63.87
10,10,1,64.038,64.032,64.038,63.87
0,10,2,66.562,66.645,66.562,66.473
1,10,2,66.562,66.645,66.562,66.473
2,10,2,66.562,66.645,66.562,66.473
3,10,2,66.562,66.645,66.562,66.473
4,10,2,67.192,67.405,67.192,67.028
5,10,2,67.192,67.405,67.192,67.028
6,10,2,67.192,67.405,67.192,67.028
7,10,2,67.192,67.405,67.192,67.028
8,10,2,67.192,67.405,67.192,67.028
9,10,2,67.192,67.405,67.192,67.028
10,10,2,67.192,67.405,67.192,67.028
0,25,0,65.931,65.965,65.931,65.853
1,25,0,66.246,66.355,66.246,66.108
2,25,0,66.246,66.355,66.246,66.108
3,25,0,66.246,66.355,66.246,66.108
4,25,0,66.246,66.355,66.246,66.108
0,25,1,64.038,64.032,64.038,63.87
1,25,1,64.038,64.032,64.038,63.87
2,25,1,64.038,64.032,64.038,63.87
3,25,1,64.038,64.032,64.038,63.87
4,25,1,64.038,64.032,64.038,63.87
0,25,2,66.562,66.645,66.562,66.473
1,25,2,66.562,66.645,66.562,66.473
2,25,2,66.562,66.645,66.562,66.473
3,25,2,68.139,68.343,68.139,67.993
4,25,2,68.139,68.343,68.139,67.993
