iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,66.562,66.581,66.562,66.505
2,2,0,65.3,65.312,65.3,65.241
3,2,0,64.669,64.741,64.669,64.539
4,2,0,64.984,65.022,64.984,64.893
5,2,0,65.3,65.352,65.3,65.198
6,2,0,64.984,65.022,64.984,64.893
7,2,0,65.3,65.352,65.3,65.198
8,2,0,66.246,66.295,66.246,66.158
9,2,0,66.562,66.657,66.562,66.438
10,2,0,66.562,66.626,66.562,66.463
11,2,0,67.192,67.296,67.192,67.072
12,2,0,66.877,66.96,66.877,66.768
13,2,0,67.192,67.263,67.192,67.096
14,2,0,67.823,67.872,67.823,67.75
15,2,0,67.508,67.634,67.508,67.375
16,2,0,67.192,67.296,67.192,67.072
17,2,0,67.192,67.296,67.192,67.072
18,2,0,67.192,67.296,67.192,67.072
19,2,0,67.192,67.296,67.192,67.072
20,2,0,67.508,67.567,67.508,67.423
21,2,0,67.508,67.524,67.508,67.461
22,2,0,67.192,67.215,67.192,67.137
23,2,0,67.192,67.215,67.192,67.137
24,2,0,67.192,67.19,67.192,67.167
25,2,0,67.192,67.19,67.192,67.167
26,2,0,67.192,67.2,67.192,67.153
27,2,0,66.877,66.908,66.877,66.811
28,2,0,66.877,66.89,66.877,66.829
29,2,0,66.877,66.908,66.877,66.811
30,2,0,67.192,67.215,67.192,67.137
31,2,0,66.562,66.601,66.562,66.485
32,2,0,66.246,66.256,66.246,66.198
33,2,0,66.246,66.256,66.246,66.198
34,2,0,66.562,66.601,66.562,66.485
35,2,0,67.192,67.215,67.192,67.137
36,2,0,67.192,67.215,67.192,67.137
37,2,0,67.192,67.215,67.192,67.137
38,2,0,66.562,66.557,66.562,66.536
39,2,0,66.562,66.557,66.562,66.536
40,2,0,66.877,66.878,66.877,66.845
41,2,0,66.877,66.878,66.877,66.845
42,2,0,67.192,67.186,67.192,67.187
43,2,0,67.508,67.501,67.508,67.498
44,2,0,67.508,67.501,67.508,67.498
45,2,0,68.139,68.135,68.139,68.136
46,2,0,67.508,67.513,67.508,67.51
47,2,0,67.508,67.513,67.508,67.51
48,2,0,68.139,68.132,68.139,68.129
49,2,0,68.139,68.132,68.139,68.129
50,2,0,68.139,68.132,68.139,68.129
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.038,64.032,64.038,63.87
2,2,1,64.984,65.029,64.984,64.77
3,2,1,64.984,65.029,64.984,64.77
4,2,1,65.3,65.336,65.3,65.105
5,2,1,64.669,64.753,64.669,64.395
6,2,1,63.407,63.409,63.407,63.202
7,2,1,63.407,63.409,63.407,63.202
8,2,1,63.722,63.721,63.722,63.537
9,2,1,63.091,63.055,63.091,62.966
10,2,1,63.407,63.365,63.407,63.323
11,2,1,63.407,63.365,63.407,63.323
12,2,1,64.038,64.006,64.038,63.93
13,2,1,64.038,64.006,64.038,63.93
14,2,1,64.353,64.33,64.353,64.233
15,2,1,64.669,64.643,64.669,64.563
16,2,1,64.984,64.956,64.984,64.892
17,2,1,64.984,64.956,64.984,64.892
18,2,1,64.669,64.655,64.669,64.535
19,2,1,64.669,64.643,64.669,64.563
20,2,1,65.3,65.279,65.3,65.195
21,2,1,65.3,65.279,65.3,65.195
22,2,1,65.615,65.604,65.615,65.499
23,2,1,65.615,65.604,65.615,65.499
24,2,1,64.984,64.956,64.984,64.892
25,2,1,66.246,66.218,66.246,66.216
26,2,1,65.931,65.9,65.931,65.873
27,2,1,65.931,65.9,65.931,65.873
28,2,1,66.562,66.537,66.562,66.539
29,2,1,66.877,66.857,66.877,66.861
30,2,1,67.192,67.169,67.192,67.17
31,2,1,67.192,67.169,67.192,67.17
32,2,1,67.508,67.483,67.508,67.462
33,2,1,67.508,67.483,67.508,67.462
34,2,1,67.508,67.483,67.508,67.462
35,2,1,66.246,66.228,66.246,66.157
36,2,1,66.562,66.553,66.562,66.461
37,2,1,66.562,66.553,66.562,66.461
38,2,1,66.562,66.57,66.562,66.435
39,2,1,66.877,66.9,66.877,66.737
40,2,1,66.877,66.879,66.877,66.765
41,2,1,67.508,67.5,67.508,67.422
42,2,1,67.508,67.5,67.508,67.422
43,2,1,67.192,67.189,67.192,67.094
44,2,1,66.877,66.879,66.877,66.765
45,2,1,66.877,66.879,66.877,66.765
46,2,1,65.615,65.583,65.615,65.567
47,2,1,65.3,65.273,65.3,65.276
48,2,1,65.3,65.273,65.3,65.276
49,2,1,65.3,65.273,65.3,65.276
50,2,1,65.3,65.273,65.3,65.276
0,2,2,66.562,66.645,66.562,66.473
1,2,2,67.508,67.657,67.508,67.386
2,2,2,67.508,67.702,67.508,67.36
3,2,2,67.508,67.702,67.508,67.36
4,2,2,67.823,68.165,67.823,67.599
5,2,2,67.823,68.233,67.823,67.563
6,2,2,68.77,69.33,68.77,68.46
7,2,2,68.77,69.33,68.77,68.46
8,2,2,68.77,69.33,68.77,68.46
9,2,2,68.77,69.42,68.77,68.418
10,2,2,68.77,69.33,68.77,68.46
11,2,2,68.77,69.33,68.77,68.46
12,2,2,68.77,69.33,68.77,68.46
13,2,2,68.139,68.762,68.139,67.78
14,2,2,67.508,68.02,67.508,67.185
15,2,2,67.192,67.583,67.192,66.927
16,2,2,67.192,67.583,67.192,66.927
17,2,2,67.508,67.874,67.508,67.263
18,2,2,67.192,67.517,67.192,66.963
19,2,2,67.508,67.874,67.508,67.263
20,2,2,66.877,67.292,66.877,66.589
21,2,2,66.877,67.292,66.877,66.589
22,2,2,66.562,66.933,66.562,66.291
23,2,2,66.562,66.933,66.562,66.291
24,2,2,65.931,66.169,65.931,65.728
25,2,2,65.931,66.169,65.931,65.728
26,2,2,65.931,66.169,65.931,65.728
27,2,2,65.931,66.169,65.931,65.728
28,2,2,65.931,66.223,65.931,65.693
29,2,2,65.931,66.223,65.931,65.693
30,2,2,66.246,66.518,66.246,66.028
31,2,2,65.931,66.12,65.931,65.76
32,2,2,65.931,66.12,65.931,65.76
33,2,2,65.931,66.12,65.931,65.76
34,2,2,66.877,67.017,66.877,66.753
35,2,2,66.877,66.98,66.877,66.778
36,2,2,66.877,67.06,66.877,66.726
37,2,2,66.877,67.06,66.877,66.726
38,2,2,66.562,66.763,66.562,66.394
39,2,2,66.562,66.763,66.562,66.394
40,2,2,67.192,67.517,67.192,66.963
41,2,2,67.192,67.517,67.192,66.963
42,2,2,66.246,66.518,66.246,66.028
43,2,2,66.877,67.164,66.877,66.663
44,2,2,66.562,66.933,66.562,66.291
45,2,2,66.562,66.933,66.562,66.291
46,2,2,66.562,66.933,66.562,66.291
47,2,2,66.562,66.933,66.562,66.291
48,2,2,66.562,66.813,66.562,66.362
49,2,2,66.562,66.813,66.562,66.362
50,2,2,66.877,67.109,66.877,66.696
0,5,0,65.931,65.965,65.931,65.853
1,5,0,66.246,66.273,66.246,66.179
2,5,0,65.615,65.612,65.615,65.582
3,5,0,65.615,65.612,65.615,65.582
4,5,0,66.877,66.908,66.877,66.811
5,5,0,66.877,66.908,66.877,66.811
6,5,0,66.562,66.581,66.562,66.505
7,5,0,67.508,67.524,67.508,67.461
8,5,0,68.77,68.766,68.77,68.767
9,5,0,68.139,68.135,68.139,68.136
10,5,0,67.823,67.835,67.823,67.827
11,5,0,67.823,67.853,67.823,67.827
12,5,0,67.508,67.642,67.508,67.494
13,5,0,67.192,67.307,67.192,67.183
14,5,0,65.615,65.709,65.615,65.609
15,5,0,65.931,65.96,65.931,65.935
16,5,0,65.931,65.982,65.931,65.933
17,5,0,65.615,65.655,65.615,65.619
18,5,0,66.246,66.266,66.246,66.25
19,5,0,66.877,66.917,66.877,66.88
20,5,0,66.562,66.591,66.562,66.566
0,5,1,64.038,64.032,64.038,63.87
1,5,1,63.722,63.704,63.722,63.57
2,5,1,64.669,64.694,64.669,64.471
3,5,1,64.669,64.672,64.669,64.504
4,5,1,65.3,65.293,65.3,65.168
5,5,1,65.3,65.293,65.3,65.168
6,5,1,64.984,64.954,64.984,64.953
7,5,1,65.3,65.268,65.3,65.26
8,5,1,64.353,64.316,64.353,64.303
9,5,1,62.776,62.736,62.776,62.734
10,5,1,62.461,62.413,62.461,62.386
11,5,1,62.461,62.413,62.461,62.386
12,5,1,62.145,62.097,62.145,62.082
13,5,1,61.83,61.783,61.83,61.776
14,5,1,62.145,62.114,62.145,62.119
15,5,1,62.776,62.746,62.776,62.751
16,5,1,62.776,62.731,62.776,62.714
17,5,1,62.776,62.736,62.776,62.734
18,5,1,62.776,62.731,62.776,62.714
19,5,1,63.091,63.049,63.091,62.994
20,5,1,64.353,64.316,64.353,64.303
0,5,2,66.562,66.645,66.562,66.473
1,5,2,66.562,66.645,66.562,66.473
2,5,2,66.877,66.948,66.877,66.8
3,5,2,66.562,66.617,66.562,66.493
4,5,2,67.823,67.919,67.823,67.738
5,5,2,68.139,68.255,68.139,68.043
6,5,2,67.823,67.956,67.823,67.715
7,5,2,68.139,68.343,68.139,67.993
8,5,2,68.77,68.935,68.77,68.653
9,5,2,69.085,69.279,69.085,68.957
10,5,2,69.401,69.683,69.401,69.233
11,5,2,69.401,69.683,69.401,69.233
12,5,2,69.401,69.575,69.401,69.286
13,5,2,68.77,68.893,68.77,68.676
14,5,2,68.454,68.639,68.454,68.324
15,5,2,67.823,67.956,67.823,67.715
16,5,2,66.877,67.017,66.877,66.753
17,5,2,66.246,66.419,66.246,66.092
18,5,2,66.246,66.312,66.246,66.167
19,5,2,66.246,66.288,66.246,66.187
20,5,2,66.562,66.645,66.562,66.473
0,10,0,65.931,65.965,65.931,65.853
1,10,0,65.3,65.412,65.3,65.143
2,10,0,64.984,65.149,64.984,64.778
3,10,0,64.984,65.193,64.984,64.742
4,10,0,66.562,66.898,66.562,66.273
5,10,0,66.562,66.838,66.562,66.312
6,10,0,67.508,67.725,67.508,67.316
7,10,0,67.192,67.429,67.192,66.982
8,10,0,66.877,67.081,66.877,66.682
9,10,0,66.877,67.081,66.877,66.682
10,10,0,66.562,66.694,66.562,66.411
0,10,1,64.038,64.032,64.038,63.87
1,10,1,64.669,64.721,64.669,64.434
2,10,1,63.722,63.798,63.722,63.42
3,10,1,64.669,64.753,64.669,64.395
4,10,1,65.3,65.4,65.3,65.031
5,10,1,65.3,65.4,65.3,65.031
6,10,1,64.353,64.413,64.353,64.097
7,10,1,64.353,64.385,64.353,64.135
8,10,1,63.407,63.37,63.407,63.297
9,10,1,64.353,64.321,64.353,64.259
10,10,1,64.669,64.643,64.669,64.563
0,10,2,66.562,66.645,66.562,66.473
1,10,2,64.984,65.279,64.984,64.721
2,10,2,65.615,65.872,65.615,65.393
3,10,2,64.038,64.389,64.038,63.704
4,10,2,63.722,64.034,63.722,63.407
5,10,2,64.669,64.928,64.669,64.422
6,10,2,63.722,63.792,63.722,63.614
7,10,2,63.722,63.734,63.722,63.677
8,10,2,61.514,61.506,61.514,61.5
9,10,2,62.461,62.467,62.461,62.413
10,10,2,63.091,63.101,63.091,63.045
0,25,0,65.931,65.965,65.931,65.853
1,25,0,66.246,66.239,66.246,66.226
2,25,0,64.984,65.075,64.984,64.841
3,25,0,65.3,65.33,65.3,65.221
4,25,0,66.246,66.273,66.246,66.179
0,25,1,64.038,64.032,64.038,63.87
1,25,1,64.984,64.983,64.984,64.837
2,25,1,67.192,67.208,67.192,67.068
3,25,1,66.246,66.242,66.246,66.132
4,25,1,65.3,65.336,65.3,65.105
0,25,2,66.562,66.645,66.562,66.473
1,25,2,65.3,65.478,65.3,65.126
2,25,2,65.615,66.209,65.615,65.18
3,25,2,66.562,66.933,66.562,66.291
4,25,2,64.669,65.042,64.669,64.34
