iter,step,fold,acc,prec,rec,f1score
0,2,0,65.931,65.965,65.931,65.853
1,2,0,65.931,65.965,65.931,65.853
2,2,0,65.931,65.965,65.931,65.853
3,2,0,64.984,65.046,64.984,64.869
4,2,0,64.984,65.046,64.984,64.869
5,2,0,64.984,65.046,64.984,64.869
6,2,0,64.984,65.046,64.984,64.869
7,2,0,64.984,65.046,64.984,64.869
8,2,0,64.038,64.13,64.038,63.876
9,2,0,64.038,64.13,64.038,63.876
10,2,0,64.038,64.13,64.038,63.876
11,2,0,63.722,63.826,63.722,63.543
12,2,0,63.722,63.826,63.722,63.543
13,2,0,64.038,64.102,64.038,63.905
14,2,0,64.038,64.102,64.038,63.905
15,2,0,64.038,64.078,64.038,63.932
16,2,0,64.038,64.078,64.038,63.932
17,2,0,64.038,64.078,64.038,63.932
18,2,0,64.038,64.078,64.038,63.932
19,2,0,64.353,64.386,64.353,64.261
20,2,0,64.669,64.694,64.669,64.588
21,2,0,64.984,65.003,64.984,64.915
22,2,0,64.984,65.003,64.984,64.915
23,2,0,65.615,65.622,65.615,65.566
24,2,0,65.615,65.622,65.615,65.566
25,2,0,66.877,66.931,66.877,66.791
26,2,0,66.877,66.931,66.877,66.791
27,2,0,66.877,66.931,66.877,66.791
28,2,0,66.877,66.931,66.877,66.791
29,2,0,66.877,66.89,66.877,66.829
30,2,0,67.192,67.2,67.192,67.153
31,2,0,67.192,67.2,67.192,67.153
32,2,0,67.192,67.2,67.192,67.153
33,2,0,66.877,66.89,66.877,66.829
34,2,0,66.877,66.89,66.877,66.829
35,2,0,66.877,66.89,66.877,66.829
36,2,0,66.877,66.89,66.877,66.829
37,2,0,66.877,66.908,66.877,66.811
38,2,0,66.877,66.908,66.877,66.811
39,2,0,66.562,66.601,66.562,66.485
40,2,0,66.562,66.601,66.562,66.485
41,2,0,64.984,64.979,64.984,64.95
42,2,0,65.3,65.293,65.3,65.273
43,2,0,65.3,65.293,65.3,65.273
44,2,0,65.3,65.293,65.3,65.273
45,2,0,65.3,65.293,65.3,65.273
46,2,0,65.3,65.293,65.3,65.273
47,2,0,66.246,66.238,66.246,66.236
48,2,0,66.246,66.238,66.246,66.236
49,2,0,66.562,66.555,66.562,66.556
50,2,0,66.562,66.555,66.562,66.556
0,2,1,64.038,64.032,64.038,63.87
1,2,1,64.353,64.343,64.353,64.203
2,2,1,64.353,64.343,64.353,64.203
3,2,1,64.038,64.032,64.038,63.87
4,2,1,64.038,64.032,64.038,63.87
5,2,1,64.038,64.017,64.038,63.902
6,2,1,64.038,64.017,64.038,63.902
7,2,1,64.353,64.343,64.353,64.203
8,2,1,64.353,64.343,64.353,64.203
9,2,1,64.669,64.672,64.669,64.504
10,2,1,64.669,64.672,64.669,64.504
11,2,1,64.669,64.672,64.669,64.504
12,2,1,64.669,64.672,64.669,64.504
13,2,1,64.353,64.362,64.353,64.171
14,2,1,64.353,64.362,64.353,64.171
15,2,1,63.722,63.742,63.722,63.501
16,2,1,63.722,63.742,63.722,63.501
17,2,1,63.407,63.432,63.407,63.164
18,2,1,63.407,63.432,63.407,63.164
19,2,1,64.038,64.052,64.038,63.836
20,2,1,64.038,64.052,64.038,63.836
21,2,1,64.038,64.052,64.038,63.836
22,2,1,64.038,64.052,64.038,63.836
23,2,1,64.038,64.052,64.038,63.836
24,2,1,64.038,64.052,64.038,63.836
25,2,1,64.038,64.052,64.038,63.836
26,2,1,64.038,64.052,64.038,63.836
27,2,1,64.353,64.385,64.353,64.135
28,2,1,64.353,64.385,64.353,64.135
29,2,1,64.353,64.385,64.353,64.135
30,2,1,64.669,64.694,64.669,64.471
31,2,1,64.669,64.694,64.669,64.471
32,2,1,64.669,64.694,64.669,64.471
33,2,1,64.353,64.343,64.353,64.203
34,2,1,64.353,64.33,64.353,64.233
35,2,1,64.669,64.635,64.669,64.587
36,2,1,64.669,64.635,64.669,64.587
37,2,1,65.615,65.583,65.615,65.567
38,2,1,65.615,65.583,65.615,65.567
39,2,1,65.3,65.27,65.3,65.22
40,2,1,65.3,65.27,65.3,65.22
41,2,1,65.3,65.27,65.3,65.22
42,2,1,65.3,65.27,65.3,65.22
43,2,1,65.3,65.27,65.3,65.22
44,2,1,65.3,65.27,65.3,65.22
45,2,1,64.984,64.951,64.984,64.915
46,2,1,64.984,64.951,64.984,64.915
47,2,1,65.3,65.27,65.3,65.22
48,2,1,65.3,65.27,65.3,65.22
49,2,1,65.3,65.27,65.3,65.22
50,2,1,65.3,65.27,65.3,65.22
0,2,2,66.562,66.645,66.562,66.473
1,2,2,65.931,66.008,65.931,65.84
2,2,2,65.931,66.008,65.931,65.84
3,2,2,65.3,65.326,65.3,65.248
4,2,2,65.3,65.326,65.3,65.248
5,2,2,65.615,65.676,65.615,65.535
6,2,2,65.615,65.676,65.615,65.535
7,2,2,65.615,65.676,65.615,65.535
8,2,2,65.615,65.676,65.615,65.535
9,2,2,65.615,65.676,65.615,65.535
10,2,2,65.615,65.676,65.615,65.535
11,2,2,65.615,65.676,65.615,65.535
12,2,2,65.615,65.676,65.615,65.535
13,2,2,66.246,66.342,66.246,66.145
14,2,2,66.246,66.342,66.246,66.145
15,2,2,66.246,66.342,66.246,66.145
16,2,2,66.246,66.342,66.246,66.145
17,2,2,66.562,66.679,66.562,66.449
18,2,2,66.562,66.679,66.562,66.449
19,2,2,66.562,66.679,66.562,66.449
20,2,2,66.877,67.017,66.877,66.753
21,2,2,66.877,67.109,66.877,66.696
22,2,2,66.877,67.109,66.877,66.696
23,2,2,66.877,67.109,66.877,66.696
24,2,2,66.877,67.109,66.877,66.696
25,2,2,67.508,67.702,67.508,67.36
26,2,2,67.508,67.702,67.508,67.36
27,2,2,68.139,68.396,68.139,67.965
28,2,2,68.139,68.396,68.139,67.965
29,2,2,68.139,68.456,68.139,67.933
30,2,2,68.139,68.456,68.139,67.933
31,2,2,68.139,68.456,68.139,67.933
32,2,2,68.139,68.456,68.139,67.933
33,2,2,68.139,68.456,68.139,67.933
34,2,2,68.139,68.456,68.139,67.933
35,2,2,68.139,68.456,68.139,67.933
36,2,2,68.139,68.456,68.139,67.933
37,2,2,68.139,68.456,68.139,67.933
38,2,2,68.139,68.456,68.139,67.933
39,2,2,67.823,68.165,67.823,67.599
40,2,2,67.823,68.165,67.823,67.599
41,2,2,68.77,69.171,68.77,68.535
42,2,2,68.77,69.171,68.77,68.535
43,2,2,68.77,69.171,68.77,68.535
44,2,2,68.77,69.171,68.77,68.535
45,2,2,68.77,69.171,68.77,68.535
46,2,2,68.77,69.171,68.77,68.535
47,2,2,68.77,69.247,68.77,68.498
48,2,2,68.77,69.247,68.77,68.498
49,2,2,68.77,69.247,68.77,68.498
50,2,2,68.77,69.247,68.77,68.498
0,5,0,65.931,65.965,65.931,65.853
1,5,0,66.562,66.566,66.562,66.521
2,5,0,66.562,66.566,66.562,66.521
3,5,0,66.562,66.557,66.562,66.536
4,5,0,66.562,66.557,66.562,66.536
5,5,0,65.931,65.925,65.931,65.904
6,5,0,65.931,65.925,65.931,65.904
7,5,0,65.615,65.607,65.615,65.595
8,5,0,65.615,65.607,65.615,65.595
9,5,0,65.615,65.607,65.615,65.595
10,5,0,65.615,65.607,65.615,65.595
11,5,0,65.615,65.607,65.615,65.595
12,5,0,65.615,65.607,65.615,65.595
13,5,0,65.931,65.989,65.931,65.83
14,5,0,65.931,65.989,65.931,65.83
15,5,0,65.931,65.989,65.931,65.83
16,5,0,65.931,65.989,65.931,65.83
17,5,0,65.615,65.684,65.615,65.502
18,5,0,65.615,65.684,65.615,65.502
19,5,0,65.615,65.793,65.615,65.412
20,5,0,65.615,65.793,65.615,65.412
0,5,1,64.038,64.032,64.038,63.87
1,5,1,63.091,63.079,63.091,62.902
2,5,1,63.091,63.079,63.091,62.902
3,5,1,63.407,63.392,63.407,63.237
4,5,1,63.091,63.079,63.091,62.902
5,5,1,61.514,61.46,61.514,61.399
6,5,1,61.514,61.46,61.514,61.399
7,5,1,61.514,61.46,61.514,61.399
8,5,1,61.514,61.46,61.514,61.399
9,5,1,61.514,61.46,61.514,61.399
10,5,1,61.514,61.46,61.514,61.399
11,5,1,61.514,61.46,61.514,61.426
12,5,1,61.514,61.46,61.514,61.426
13,5,1,62.145,62.114,62.145,62.119
14,5,1,62.145,62.114,62.145,62.119
15,5,1,62.461,62.451,62.461,62.455
16,5,1,62.461,62.451,62.461,62.455
17,5,1,62.461,62.451,62.461,62.455
18,5,1,62.461,62.451,62.461,62.455
19,5,1,62.461,62.451,62.461,62.455
20,5,1,62.461,62.451,62.461,62.455
0,5,2,66.562,66.645,66.562,66.473
1,5,2,65.615,65.778,65.615,65.458
2,5,2,65.615,65.778,65.615,65.458
3,5,2,66.246,66.466,66.246,66.061
4,5,2,66.246,66.466,66.246,66.061
5,5,2,66.562,66.763,66.562,66.394
6,5,2,66.562,66.763,66.562,66.394
7,5,2,67.823,68.165,67.823,67.599
8,5,2,67.823,68.165,67.823,67.599
9,5,2,66.562,66.87,66.562,66.328
10,5,2,66.562,66.87,66.562,66.328
11,5,2,66.877,67.292,66.877,66.589
12,5,2,66.877,67.292,66.877,66.589
13,5,2,65.615,65.872,65.615,65.393
14,5,2,65.615,65.872,65.615,65.393
15,5,2,65.615,65.872,65.615,65.393
16,5,2,67.192,67.583,67.192,66.927
17,5,2,67.192,67.733,67.192,66.845
18,5,2,67.192,67.733,67.192,66.845
19,5,2,66.246,66.961,66.246,65.768
20,5,2,66.246,66.961,66.246,65.768
0,10,0,65.931,65.965,65.931,65.853
1,10,0,66.246,66.437,66.246,66.047
2,10,0,66.246,66.437,66.246,66.047
3,10,0,65.615,65.715,65.615,65.475
4,10,0,65.931,66.018,65.931,65.805
5,10,0,66.562,66.657,66.562,66.438
6,10,0,66.562,66.657,66.562,66.438
7,10,0,66.877,66.96,66.877,66.768
8,10,0,66.877,66.96,66.877,66.768
9,10,0,67.823,68.134,67.823,67.583
10,10,0,67.823,68.134,67.823,67.583
0,10,1,64.038,64.032,64.038,63.87
1,10,1,64.669,64.694,64.669,64.471
2,10,1,64.669,64.694,64.669,64.471
3,10,1,64.984,65.029,64.984,64.77
4,10,1,64.984,65.029,64.984,64.77
5,10,1,64.353,64.385,64.353,64.135
6,10,1,64.353,64.385,64.353,64.135
7,10,1,65.931,65.979,65.931,65.74
8,10,1,65.931,65.979,65.931,65.74
9,10,1,68.139,68.154,68.139,68.031
10,10,1,68.139,68.154,68.139,68.031
0,10,2,66.562,66.645,66.562,66.473
1,10,2,65.931,65.96,65.931,65.88
2,10,2,65.931,65.96,65.931,65.88
3,10,2,65.3,65.301,65.3,65.277
4,10,2,65.3,65.301,65.3,65.277
5,10,2,65.3,65.301,65.3,65.277
6,10,2,65.3,65.301,65.3,65.277
7,10,2,65.615,65.653,65.615,65.555
8,10,2,65.615,65.653,65.615,65.555
9,10,2,65.615,65.705,65.615,65.512
10,10,2,65.615,65.705,65.615,65.512
0,25,0,65.931,65.965,65.931,65.853
1,25,0,65.3,65.379,65.3,65.172
2,25,0,65.3,65.379,65.3,65.172
3,25,0,66.877,66.908,66.877,66.811
4,25,0,66.877,66.908,66.877,66.811
0,25,1,64.038,64.032,64.038,63.87
1,25,1,64.038,63.999,64.038,63.977
2,25,1,64.038,63.999,64.038,63.977
3,25,1,64.984,64.954,64.984,64.953
4,25,1,64.984,64.954,64.984,64.953
0,25,2,66.562,66.645,66.562,66.473
1,25,2,68.139,68.296,68.139,68.02
2,25,2,68.139,68.296,68.139,68.02
3,25,2,67.823,67.888,67.823,67.758
4,25,2,67.823,67.888,67.823,67.758
