iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,79.18,79.51,79.18,79.086
2,2,0,81.388,82.564,81.388,81.167
3,2,0,78.864,79.022,78.864,78.809
4,2,0,78.549,78.796,78.549,78.47
5,2,0,77.918,78.502,77.918,77.753
6,2,0,82.65,83.185,82.65,82.548
7,2,0,79.18,79.231,79.18,79.155
8,2,0,78.233,78.246,78.233,78.22
9,2,0,81.388,81.897,81.388,81.278
10,2,0,78.864,78.9,78.864,78.844
11,2,0,81.388,81.634,81.388,81.327
12,2,0,80.126,80.242,80.126,80.087
13,2,0,81.388,81.634,81.388,81.327
14,2,0,81.703,82.273,81.703,81.586
15,2,0,81.703,82.167,81.703,81.604
16,2,0,74.448,74.722,74.448,74.417
17,2,0,81.703,82.273,81.703,81.586
18,2,0,76.972,77.014,76.972,76.974
19,2,0,81.073,81.524,81.073,80.97
20,2,0,77.603,77.603,77.603,77.596
21,2,0,82.019,82.653,82.019,81.894
22,2,0,81.388,81.798,81.388,81.296
23,2,0,80.757,81.071,80.757,80.679
24,2,0,82.019,82.35,82.019,81.946
25,2,0,82.65,82.84,82.65,82.605
26,2,0,82.019,82.272,82.019,81.96
27,2,0,82.334,82.555,82.334,82.282
28,2,0,82.019,82.204,82.019,81.972
29,2,0,82.334,82.555,82.334,82.282
30,2,0,82.965,83.192,82.965,82.915
31,2,0,82.65,82.84,82.65,82.605
32,2,0,83.912,84.186,83.912,83.859
33,2,0,82.334,82.555,82.334,82.282
34,2,0,83.912,84.113,83.912,83.87
35,2,0,79.495,79.539,79.495,79.497
36,2,0,81.388,81.391,81.388,81.382
37,2,0,83.281,83.476,83.281,83.237
38,2,0,57.729,67.448,57.729,51.697
39,2,0,55.205,70.748,55.205,45.832
40,2,0,74.132,74.594,74.132,74.065
41,2,0,74.448,74.467,74.448,74.451
42,2,0,65.615,69.321,65.615,64.188
43,2,0,58.991,66.943,58.991,54.245
44,2,0,76.341,76.562,76.341,76.322
45,2,0,83.912,84.052,83.912,83.88
46,2,0,72.24,72.523,72.24,72.089
47,2,0,70.347,71.89,70.347,69.953
48,2,0,84.543,86.956,84.543,84.233
49,2,0,78.233,78.234,78.233,78.227
50,2,0,84.543,85.24,84.543,84.435
0,2,1,73.817,73.931,73.817,73.707
1,2,1,74.132,74.229,74.132,74.034
2,2,1,75.394,75.935,75.394,75.142
3,2,1,76.341,76.685,76.341,76.171
4,2,1,76.341,76.864,76.341,76.114
5,2,1,79.495,79.58,79.495,79.441
6,2,1,76.972,77.037,76.972,76.911
7,2,1,77.603,77.897,77.603,77.466
8,2,1,77.918,78.258,77.918,77.771
9,2,1,73.502,73.634,73.502,73.378
10,2,1,77.918,77.913,77.918,77.903
11,2,1,77.918,77.913,77.918,77.903
12,2,1,77.603,77.601,77.603,77.582
13,2,1,77.918,78.181,77.918,77.794
14,2,1,76.025,76.025,76.025,76.025
15,2,1,59.621,59.935,59.621,59.585
16,2,1,76.972,77.231,76.972,76.972
17,2,1,77.287,77.404,77.287,77.296
18,2,1,76.972,76.979,76.972,76.974
19,2,1,77.603,77.897,77.603,77.466
20,2,1,77.603,77.673,77.603,77.543
21,2,1,79.18,79.547,79.18,79.042
22,2,1,76.972,77.622,76.972,76.72
23,2,1,77.918,78.344,77.918,77.747
24,2,1,77.603,77.897,77.603,77.466
25,2,1,79.811,79.973,79.811,79.734
26,2,1,77.918,78.058,77.918,77.834
27,2,1,80.757,80.852,80.757,80.706
28,2,1,78.864,79.109,78.864,78.756
29,2,1,78.233,78.405,78.233,78.142
30,2,1,79.18,79.284,79.18,79.117
31,2,1,79.495,79.827,79.495,79.37
32,2,1,78.549,78.696,78.549,78.468
33,2,1,78.864,78.944,78.864,78.809
34,2,1,79.18,79.284,79.18,79.117
35,2,1,76.025,76.067,76.025,76.034
36,2,1,70.032,70.026,70.032,69.972
37,2,1,79.495,79.58,79.495,79.441
38,2,1,66.877,66.854,66.877,66.811
39,2,1,56.782,61.589,56.782,53.365
40,2,1,64.669,65.583,64.669,64.454
41,2,1,64.984,64.994,64.984,64.988
42,2,1,61.514,61.567,61.514,61.12
43,2,1,70.662,70.901,70.662,70.662
44,2,1,65.3,72.888,65.3,61.38
45,2,1,66.562,66.541,66.562,66.485
46,2,1,71.609,71.598,71.609,71.6
47,2,1,76.972,77.515,76.972,76.751
48,2,1,70.662,71.106,70.662,70.629
49,2,1,70.978,70.996,70.978,70.984
50,2,1,71.924,72.38,71.924,71.892
0,2,2,73.186,73.624,73.186,73.013
1,2,2,74.763,75.042,74.763,74.659
2,2,2,72.555,72.634,72.555,72.507
3,2,2,75.079,75.476,75.079,74.943
4,2,2,75.71,75.726,75.71,75.711
