iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,79.18,79.51,79.18,79.086
2,2,0,79.18,79.51,79.18,79.086
3,2,0,76.656,76.654,76.656,76.652
4,2,0,77.287,77.307,77.287,77.269
5,2,0,72.871,73.166,72.871,72.832
6,2,0,72.871,73.166,72.871,72.832
7,2,0,76.341,76.36,76.341,76.344
8,2,0,70.978,71.478,70.978,70.882
9,2,0,76.341,76.663,76.341,76.224
10,2,0,74.132,74.315,74.132,74.117
11,2,0,75.079,75.083,75.079,75.08
12,2,0,75.394,75.432,75.394,75.365
13,2,0,73.817,73.931,73.817,73.749
14,2,0,73.817,73.931,73.817,73.749
15,2,0,76.025,76.036,76.025,76.028
16,2,0,76.656,76.667,76.656,76.658
17,2,0,76.341,76.36,76.341,76.344
18,2,0,76.025,76.24,76.025,75.937
19,2,0,76.972,77.168,76.972,76.896
20,2,0,76.972,77.168,76.972,76.896
21,2,0,76.656,76.698,76.656,76.628
22,2,0,76.656,76.698,76.656,76.628
23,2,0,77.603,77.664,77.603,77.57
24,2,0,77.287,77.332,77.287,77.26
25,2,0,79.18,79.596,79.18,79.067
26,2,0,79.18,79.596,79.18,79.067
27,2,0,79.495,79.791,79.495,79.412
28,2,0,79.495,79.791,79.495,79.412
29,2,0,78.864,79.022,78.864,78.809
30,2,0,78.864,79.022,78.864,78.809
31,2,0,79.811,80.239,79.811,79.701
32,2,0,79.495,79.964,79.495,79.374
33,2,0,79.18,79.51,79.18,79.086
34,2,0,79.18,79.51,79.18,79.086
35,2,0,77.287,77.307,77.287,77.269
36,2,0,75.71,75.729,75.71,75.713
37,2,0,80.126,80.514,80.126,80.028
38,2,0,80.126,80.514,80.126,80.028
39,2,0,80.126,80.608,80.126,80.009
40,2,0,80.126,80.608,80.126,80.009
41,2,0,78.549,79.046,78.549,78.412
42,2,0,81.073,81.868,81.073,80.909
43,2,0,78.549,78.732,78.549,78.486
44,2,0,78.549,78.732,78.549,78.486
45,2,0,79.495,80.304,79.495,79.306
46,2,0,79.495,80.304,79.495,79.306
47,2,0,75.394,75.41,75.394,75.375
48,2,0,79.18,79.798,79.18,79.024
49,2,0,80.757,81.253,80.757,80.644
50,2,0,80.757,81.156,80.757,80.662
0,2,1,73.817,73.931,73.817,73.707
1,2,1,74.132,74.229,74.132,74.034
2,2,1,74.132,74.229,74.132,74.034
3,2,1,75.079,75.165,75.079,74.994
4,2,1,75.079,75.165,75.079,74.994
5,2,1,75.394,75.84,75.394,75.174
6,2,1,75.394,75.84,75.394,75.174
7,2,1,55.205,55.975,55.205,54.779
8,2,1,76.972,77.005,76.972,76.926
9,2,1,74.763,75.745,74.763,74.353
10,2,1,74.763,75.745,74.763,74.353
11,2,1,72.871,72.913,72.871,72.88
12,2,1,76.341,76.864,76.341,76.114
13,2,1,77.918,77.973,77.918,77.867
14,2,1,76.972,77.418,76.972,76.779
15,2,1,77.287,77.697,77.287,77.111
16,2,1,77.287,77.697,77.287,77.111
17,2,1,76.656,77.14,76.656,76.447
18,2,1,76.656,77.14,76.656,76.447
19,2,1,75.394,75.935,75.394,75.142
20,2,1,75.394,75.935,75.394,75.142
21,2,1,75.079,75.136,75.079,75.089
22,2,1,78.864,78.86,78.864,78.861
23,2,1,77.918,78.058,77.918,77.834
24,2,1,77.918,78.058,77.918,77.834
25,2,1,77.287,77.79,77.287,77.084
26,2,1,77.287,77.79,77.287,77.084
27,2,1,76.972,77.331,76.972,76.806
28,2,1,76.972,77.331,76.972,76.806
29,2,1,73.186,73.174,73.186,73.173
30,2,1,77.603,77.826,77.603,77.488
31,2,1,77.287,77.79,77.287,77.084
32,2,1,75.394,75.84,75.394,75.174
33,2,1,72.24,72.67,72.24,71.955
34,2,1,76.341,76.769,76.341,76.143
35,2,1,75.079,75.766,75.079,74.771
36,2,1,77.287,77.475,77.287,77.181
37,2,1,76.656,76.897,76.656,76.525
38,2,1,76.656,76.897,76.656,76.525
39,2,1,75.71,76.039,75.71,75.535
40,2,1,77.603,77.826,77.603,77.488
41,2,1,77.287,77.539,77.287,77.16
42,2,1,78.549,78.824,78.549,78.429
43,2,1,75.71,75.903,75.71,75.585
44,2,1,75.71,75.903,75.71,75.585
45,2,1,78.864,78.944,78.864,78.809
46,2,1,78.864,78.944,78.864,78.809
47,2,1,78.549,78.755,78.549,78.449
48,2,1,77.603,77.977,77.603,77.442
49,2,1,76.656,77.05,76.656,76.475
50,2,1,76.972,77.005,76.972,76.926
0,2,2,73.186,73.624,73.186,73.013
1,2,2,73.502,73.527,73.502,73.503
2,2,2,73.502,73.527,73.502,73.503
3,2,2,74.763,74.762,74.763,74.76
4,2,2,75.394,75.394,75.394,75.394
