iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,79.18,79.51,79.18,79.086
2,2,0,71.293,71.679,71.293,71.228
3,2,0,77.918,78.228,77.918,77.818
4,2,0,73.817,74.247,73.817,73.636
5,2,0,75.079,75.455,75.079,74.932
6,2,0,76.656,77.554,76.656,76.395
7,2,0,76.341,76.592,76.341,76.244
8,2,0,79.18,79.915,79.18,79.0
9,2,0,77.918,78.868,77.918,77.671
10,2,0,77.918,77.94,77.918,77.901
11,2,0,78.864,79.022,78.864,78.809
12,2,0,76.656,76.66,76.656,76.646
13,2,0,71.924,72.307,71.924,71.73
14,2,0,52.05,53.583,52.05,48.771
15,2,0,77.918,78.31,77.918,77.798
16,2,0,79.495,79.791,79.495,79.412
17,2,0,79.495,79.964,79.495,79.374
18,2,0,52.366,54.058,52.366,49.021
19,2,0,75.71,75.763,75.71,75.675
20,2,0,77.287,77.458,77.287,77.22
21,2,0,77.287,77.332,77.287,77.26
22,2,0,74.448,74.616,74.448,74.364
23,2,0,78.549,78.796,78.549,78.47
24,2,0,76.656,76.73,76.656,76.617
25,2,0,75.394,75.462,75.394,75.353
26,2,0,78.549,78.633,78.549,78.513
27,2,0,77.287,77.588,77.287,77.185
28,2,0,75.394,75.738,75.394,75.261
29,2,0,78.549,78.678,78.549,78.5
30,2,0,77.287,77.365,77.287,77.249
31,2,0,79.811,80.073,79.811,79.736
32,2,0,77.918,78.228,77.918,77.818
33,2,0,77.287,77.287,77.287,77.287
34,2,0,71.293,71.935,71.293,71.164
35,2,0,76.025,76.025,76.025,76.025
36,2,0,76.025,76.055,76.025,76.028
37,2,0,76.341,76.592,76.341,76.244
38,2,0,52.997,55.152,52.997,49.338
39,2,0,52.366,55.143,52.366,47.206
40,2,0,54.89,57.103,54.89,52.197
41,2,0,66.562,66.784,66.562,66.347
42,2,0,55.205,57.195,55.205,52.892
43,2,0,67.823,69.504,67.823,67.295
44,2,0,67.823,67.939,67.823,67.814
45,2,0,78.233,78.246,78.233,78.22
46,2,0,71.609,72.022,71.609,71.397
47,2,0,76.025,76.028,76.025,76.015
48,2,0,77.918,77.94,77.918,77.901
49,2,0,79.495,79.658,79.495,79.442
50,2,0,75.394,75.424,75.394,75.397
0,2,1,73.817,73.931,73.817,73.707
1,2,1,74.132,74.229,74.132,74.034
2,2,1,71.609,71.768,71.609,71.617
3,2,1,69.085,69.099,69.085,68.992
4,2,1,73.502,73.507,73.502,73.457
5,2,1,73.502,73.555,73.502,73.422
6,2,1,68.454,68.589,68.454,68.245
7,2,1,72.555,72.586,72.555,72.483
8,2,1,72.24,72.282,72.24,72.156
9,2,1,74.132,74.162,74.132,74.073
10,2,1,75.394,75.385,75.394,75.378
11,2,1,76.972,77.127,76.972,76.875
12,2,1,76.972,77.185,76.972,76.854
13,2,1,77.603,77.897,77.603,77.466
14,2,1,76.972,77.515,76.972,76.751
15,2,1,56.467,56.941,56.467,56.32
16,2,1,76.025,76.195,76.025,75.914
17,2,1,76.656,76.782,76.656,76.568
18,2,1,77.287,77.42,77.287,77.201
19,2,1,70.032,70.685,70.032,69.569
20,2,1,48.896,49.663,48.896,47.192
21,2,1,48.58,49.305,48.58,46.803
22,2,1,76.025,76.402,76.025,75.839
23,2,1,47.95,48.577,47.95,46.019
24,2,1,48.896,49.663,48.896,47.192
25,2,1,48.58,49.262,48.58,47.047
26,2,1,47.95,48.577,47.95,46.019
27,2,1,48.58,49.305,48.58,46.803
28,2,1,48.58,49.305,48.58,46.803
29,2,1,48.896,49.663,48.896,47.192
30,2,1,48.58,49.305,48.58,46.803
31,2,1,48.58,49.305,48.58,46.803
32,2,1,74.448,75.004,74.448,74.169
33,2,1,76.341,76.685,76.341,76.171
34,2,1,76.341,76.61,76.341,76.196
35,2,1,48.58,49.349,48.58,46.54
36,2,1,70.978,71.444,70.978,70.641
37,2,1,74.448,74.909,74.448,74.203
38,2,1,55.521,57.827,55.521,53.635
39,2,1,62.145,62.097,62.145,62.082
40,2,1,68.454,68.548,68.454,68.277
41,2,1,56.151,57.301,56.151,55.446
42,2,1,65.3,65.336,65.3,65.105
43,2,1,67.823,68.592,67.823,67.186
44,2,1,62.145,62.097,62.145,62.082
45,2,1,61.514,61.674,61.514,60.951
46,2,1,66.562,67.444,66.562,65.769
47,2,1,66.877,68.097,66.877,65.913
48,2,1,69.401,69.766,69.401,69.066
49,2,1,71.924,72.799,71.924,71.444
50,2,1,71.924,72.475,71.924,71.578
0,2,2,73.186,73.624,73.186,73.013
1,2,2,74.763,75.042,74.763,74.659
2,2,2,75.079,75.398,75.079,74.965
3,2,2,74.132,74.138,74.132,74.123
4,2,2,74.448,74.451,74.448,74.449
