iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,78.233,78.444,78.233,78.162
2,2,0,79.495,79.72,79.495,79.428
3,2,0,78.864,79.151,78.864,78.778
4,2,0,79.811,80.239,79.811,79.701
5,2,0,77.603,78.473,77.603,77.367
6,2,0,80.126,80.608,80.126,80.009
7,2,0,82.019,83.223,82.019,81.805
8,2,0,76.972,77.582,76.972,76.786
9,2,0,77.287,77.854,77.287,77.117
10,2,0,77.287,77.307,77.287,77.269
11,2,0,80.126,80.608,80.126,80.009
12,2,0,81.073,82.005,81.073,80.886
13,2,0,81.388,82.564,81.388,81.167
14,2,0,81.388,82.564,81.388,81.167
15,2,0,81.703,82.812,81.703,81.499
16,2,0,76.656,76.654,76.656,76.652
17,2,0,80.126,80.956,80.126,79.943
18,2,0,76.972,77.694,76.972,76.759
19,2,0,81.703,82.659,81.703,81.523
20,2,0,79.495,79.658,79.495,79.442
21,2,0,81.703,82.812,81.703,81.499
22,2,0,81.073,81.868,81.073,80.909
23,2,0,78.549,78.732,78.549,78.486
24,2,0,80.126,80.713,80.126,79.988
25,2,0,80.442,81.656,80.442,80.195
26,2,0,79.18,80.334,79.18,78.917
27,2,0,81.703,82.659,81.703,81.523
28,2,0,82.019,83.062,82.019,81.83
29,2,0,81.388,82.406,81.388,81.192
30,2,0,81.073,81.628,81.073,80.951
31,2,0,80.442,80.982,80.442,80.316
32,2,0,80.126,80.713,80.126,79.988
33,2,0,80.442,80.982,80.442,80.316
34,2,0,81.073,81.524,81.073,80.97
35,2,0,76.972,76.972,76.972,76.965
36,2,0,81.073,81.628,81.073,80.951
37,2,0,79.811,80.566,79.811,79.636
38,2,0,62.145,71.467,62.145,56.976
39,2,0,60.883,62.366,60.883,60.031
40,2,0,67.192,67.273,67.192,67.19
41,2,0,70.032,71.448,70.032,69.374
42,2,0,77.918,79.012,77.918,77.64
43,2,0,73.817,74.539,73.817,73.541
44,2,0,75.079,77.58,75.079,74.376
45,2,0,79.811,80.073,79.811,79.736
46,2,0,73.186,73.523,73.186,73.028
47,2,0,80.442,80.643,80.442,80.384
48,2,0,74.448,75.582,74.448,74.067
49,2,0,79.495,80.587,79.495,79.251
50,2,0,78.864,78.863,78.864,78.863
0,2,1,73.817,73.931,73.817,73.707
1,2,1,75.079,75.073,75.079,75.075
2,2,1,76.025,76.195,76.025,75.914
3,2,1,75.079,75.073,75.079,75.075
4,2,1,74.763,75.122,74.763,74.751
5,2,1,76.025,76.017,76.025,76.018
6,2,1,76.025,76.017,76.025,76.018
7,2,1,74.132,74.487,74.132,74.12
8,2,1,74.763,75.122,74.763,74.751
9,2,1,74.763,74.805,74.763,74.772
10,2,1,76.025,76.1,76.025,76.035
11,2,1,76.656,76.823,76.656,76.663
12,2,1,75.71,75.7,75.71,75.698
13,2,1,76.656,76.782,76.656,76.568
14,2,1,76.656,76.969,76.656,76.501
15,2,1,76.656,76.897,76.656,76.525
16,2,1,76.025,76.025,76.025,76.025
17,2,1,77.287,77.303,77.287,77.292
18,2,1,76.656,76.676,76.656,76.617
19,2,1,76.972,77.185,76.972,76.854
20,2,1,77.603,77.601,77.603,77.582
21,2,1,75.394,75.554,75.394,75.28
22,2,1,75.71,75.848,75.71,75.607
23,2,1,74.132,74.229,74.132,74.034
24,2,1,74.763,74.914,74.763,74.646
25,2,1,75.079,75.262,75.079,74.951
26,2,1,75.71,75.848,75.71,75.607
27,2,1,73.817,74.036,73.817,73.657
28,2,1,75.079,75.209,75.079,74.974
29,2,1,74.763,74.914,74.763,74.646
30,2,1,75.079,75.323,75.079,74.927
31,2,1,75.394,75.84,75.394,75.174
32,2,1,76.025,76.324,76.025,75.866
33,2,1,74.763,74.867,74.763,74.668
34,2,1,75.079,75.209,75.079,74.974
35,2,1,75.394,75.464,75.394,75.32
36,2,1,76.025,76.402,76.025,75.839
37,2,1,77.603,77.826,77.603,77.488
38,2,1,49.842,75.486,49.842,35.136
39,2,1,53.312,53.94,53.312,52.926
40,2,1,65.615,65.672,65.615,65.405
41,2,1,51.735,53.528,51.735,49.117
42,2,1,72.24,72.757,72.24,71.917
43,2,1,71.609,73.859,71.609,70.612
44,2,1,78.233,78.229,78.233,78.23
45,2,1,79.18,79.189,79.18,79.156
46,2,1,79.18,79.174,79.18,79.174
47,2,1,80.126,80.152,80.126,80.132
