iter,step,fold,acc,prec,rec,f1score
0,2,0,78.233,79.128,78.233,78.004
1,2,0,78.549,79.15,78.549,78.389
2,2,0,78.549,79.15,78.549,78.389
3,2,0,78.864,79.082,78.864,78.795
4,2,0,78.864,79.082,78.864,78.795
5,2,0,79.811,80.995,79.811,79.556
6,2,0,79.811,80.995,79.811,79.556
7,2,0,77.287,77.962,77.287,77.091
8,2,0,77.287,77.962,77.287,77.091
9,2,0,76.656,76.947,76.656,76.551
10,2,0,75.394,75.424,75.394,75.397
11,2,0,74.448,75.893,74.448,73.982
12,2,0,75.394,75.462,75.394,75.353
13,2,0,75.71,75.709,75.71,75.703
14,2,0,75.71,75.709,75.71,75.703
15,2,0,74.132,74.132,74.132,74.132
16,2,0,77.287,77.755,77.287,77.142
17,2,0,78.233,78.676,78.233,78.105
18,2,0,78.233,78.676,78.233,78.105
19,2,0,77.603,77.806,77.603,77.529
20,2,0,77.603,77.806,77.603,77.529
21,2,0,76.341,76.34,76.341,76.334
22,2,0,77.918,78.042,77.918,77.868
23,2,0,76.025,76.025,76.025,76.025
24,2,0,74.132,74.223,74.132,74.13
25,2,0,78.549,78.678,78.549,78.5
26,2,0,81.073,81.524,81.073,80.97
27,2,0,73.186,73.339,73.186,73.174
28,2,0,77.287,77.332,77.287,77.26
29,2,0,73.502,73.681,73.502,73.486
30,2,0,77.918,78.042,77.918,77.868
31,2,0,76.656,76.675,76.656,76.638
32,2,0,76.656,76.675,76.656,76.638
33,2,0,77.603,77.635,77.603,77.581
34,2,0,77.918,78.042,77.918,77.868
35,2,0,74.448,74.521,74.448,74.448
36,2,0,78.864,79.082,78.864,78.795
37,2,0,78.864,79.151,78.864,78.778
38,2,0,78.864,79.151,78.864,78.778
39,2,0,77.918,77.999,77.918,77.881
40,2,0,79.18,79.369,79.18,79.119
41,2,0,78.233,78.298,78.233,78.202
42,2,0,78.233,78.298,78.233,78.202
43,2,0,75.079,75.152,75.079,75.079
44,2,0,75.079,75.152,75.079,75.079
45,2,0,77.918,78.042,77.918,77.868
46,2,0,77.918,78.042,77.918,77.868
47,2,0,78.549,78.732,78.549,78.486
48,2,0,78.549,78.732,78.549,78.486
49,2,0,75.71,75.729,75.71,75.713
50,2,0,78.549,78.732,78.549,78.486
0,2,1,73.817,73.931,73.817,73.707
1,2,1,72.871,72.892,72.871,72.808
2,2,1,72.871,72.892,72.871,72.808
3,2,1,72.555,72.564,72.555,72.501
4,2,1,72.555,72.564,72.555,72.501
5,2,1,72.555,72.542,72.555,72.531
6,2,1,72.555,72.542,72.555,72.531
7,2,1,72.555,72.542,72.555,72.531
8,2,1,72.871,72.946,72.871,72.882
9,2,1,72.871,72.913,72.871,72.88
10,2,1,72.871,72.913,72.871,72.88
11,2,1,71.924,72.056,71.924,71.781
12,2,1,71.924,72.056,71.924,71.781
13,2,1,73.186,73.18,73.186,73.182
14,2,1,72.555,72.742,72.555,72.561
15,2,1,71.609,71.723,71.609,71.62
16,2,1,71.609,71.723,71.609,71.62
17,2,1,72.871,72.888,72.871,72.877
18,2,1,72.871,72.888,72.871,72.877
19,2,1,72.871,73.294,72.871,72.846
20,2,1,74.132,74.14,74.132,74.089
21,2,1,73.817,74.382,73.817,73.773
22,2,1,74.448,74.505,74.448,74.458
23,2,1,74.132,74.487,74.132,74.12
24,2,1,74.132,74.487,74.132,74.12
25,2,1,74.448,74.437,74.448,74.436
26,2,1,74.448,74.437,74.448,74.436
27,2,1,73.186,73.28,73.186,73.197
28,2,1,73.186,73.28,73.186,73.197
29,2,1,73.817,74.482,73.817,73.757
30,2,1,72.555,72.649,72.555,72.567
31,2,1,73.186,73.244,73.186,73.197
32,2,1,73.186,73.244,73.186,73.197
33,2,1,73.817,73.955,73.817,73.826
34,2,1,70.978,70.963,70.978,70.945
35,2,1,72.24,72.24,72.24,72.24
36,2,1,72.24,72.24,72.24,72.24
37,2,1,73.186,73.323,73.186,73.196
38,2,1,73.186,73.499,73.186,73.178
39,2,1,73.186,73.374,73.186,73.192
40,2,1,73.186,73.374,73.186,73.192
41,2,1,73.186,73.433,73.186,73.186
42,2,1,73.186,73.374,73.186,73.192
43,2,1,72.871,73.032,72.871,72.879
44,2,1,72.871,73.032,72.871,72.879
45,2,1,73.186,73.323,73.186,73.196
46,2,1,73.186,73.323,73.186,73.196
47,2,1,72.555,72.613,72.555,72.566
48,2,1,72.24,72.315,72.24,72.251
49,2,1,71.293,71.323,71.293,71.302
50,2,1,71.609,71.723,71.609,71.62
0,2,2,73.186,73.624,73.186,73.013
1,2,2,71.924,71.941,71.924,71.926
2,2,2,74.763,75.115,74.763,74.637
3,2,2,73.502,73.541,73.502,73.474
4,2,2,74.448,74.504,74.448,74.416
5,2,2,70.662,70.66,70.662,70.661
6,2,2,72.871,73.759,72.871,72.547
7,2,2,73.186,73.808,73.186,72.953
8,2,2,73.186,73.808,73.186,72.953
9,2,2,73.186,73.356,73.186,73.106
10,2,2,73.186,73.356,73.186,73.106
11,2,2,73.186,73.356,73.186,73.106
12,2,2,73.186,73.356,73.186,73.106
13,2,2,71.924,72.037,71.924,71.859
14,2,2,71.924,72.037,71.924,71.859
15,2,2,73.502,73.702,73.502,73.413
16,2,2,75.71,75.853,75.71,75.653
17,2,2,75.71,75.808,75.71,75.667
18,2,2,73.817,73.993,73.817,73.739
19,2,2,72.24,72.88,72.24,71.982
20,2,2,73.502,74.549,73.502,73.147
21,2,2,66.246,66.518,66.246,66.028
22,2,2,73.502,74.187,73.502,73.255
23,2,2,73.186,73.474,73.186,73.064
24,2,2,73.186,73.474,73.186,73.064
25,2,2,69.716,70.183,69.716,69.471
26,2,2,73.186,73.356,73.186,73.106
27,2,2,73.186,74.152,73.186,72.847
28,2,2,74.132,74.472,74.132,74.003
29,2,2,73.186,73.624,73.186,73.013
30,2,2,73.186,73.624,73.186,73.013
31,2,2,68.454,68.961,68.454,68.161
32,2,2,73.817,74.27,73.817,73.648
33,2,2,74.132,74.638,74.132,73.952
