iter,step,fold,acc,prec,rec,f1score
0,2,0,70.032,70.741,70.032,69.87
1,2,0,78.549,78.953,78.549,78.433
2,2,0,72.871,73.102,72.871,72.748
3,2,0,76.025,76.381,76.025,75.895
4,2,0,73.502,73.559,73.502,73.457
5,2,0,68.77,69.881,68.77,68.463
6,2,0,77.918,77.965,77.918,77.892
7,2,0,75.394,76.01,75.394,75.182
8,2,0,81.703,81.918,81.703,81.65
9,2,0,77.603,77.607,77.603,77.604
10,2,0,80.757,81.751,80.757,80.555
11,2,0,84.543,85.117,84.543,84.451
12,2,0,83.596,84.209,83.596,83.491
13,2,0,74.448,74.616,74.448,74.364
14,2,0,82.965,83.355,82.965,82.889
15,2,0,82.65,83.882,82.65,82.443
16,2,0,84.227,84.739,84.227,84.142
17,2,0,83.281,84.076,83.281,83.146
18,2,0,78.549,78.579,78.549,78.551
19,2,0,76.972,76.982,76.972,76.958
20,2,0,83.912,84.871,83.912,83.763
21,2,0,80.126,80.145,80.126,80.129
22,2,0,83.912,84.27,83.912,83.846
23,2,0,84.543,85.24,84.543,84.435
24,2,0,70.978,71.661,70.978,70.835
25,2,0,86.12,86.791,86.12,86.031
26,2,0,85.804,86.291,85.804,85.734
27,2,0,86.12,86.668,86.12,86.045
28,2,0,75.079,75.737,75.079,74.849
29,2,0,86.12,86.926,86.12,86.016
30,2,0,77.603,78.032,77.603,77.47
31,2,0,85.804,86.291,85.804,85.734
32,2,0,85.804,86.533,85.804,85.706
33,2,0,82.65,82.697,82.65,82.633
34,2,0,85.489,86.278,85.489,85.38
35,2,0,85.489,86.025,85.489,85.41
36,2,0,84.858,85.63,84.858,84.745
37,2,0,86.12,86.926,86.12,86.016
38,2,0,49.842,54.787,49.842,37.081
39,2,0,71.924,73.19,71.924,71.412
40,2,0,58.044,62.355,58.044,54.779
41,2,0,71.609,73.081,71.609,71.013
42,2,0,71.609,74.251,71.609,70.642
43,2,0,78.233,78.533,78.233,78.207
44,2,0,80.126,80.358,80.126,80.061
45,2,0,73.817,78.451,73.817,72.531
46,2,0,72.871,80.517,72.871,70.839
47,2,0,78.549,80.386,78.549,78.139
48,2,0,65.615,67.66,65.615,64.832
49,2,0,78.864,79.32,78.864,78.74
50,2,0,72.555,72.706,72.555,72.543
0,2,1,62.776,62.852,62.776,62.792
1,2,1,72.555,73.469,72.555,72.086
2,2,1,66.562,67.146,66.562,65.96
3,2,1,76.341,77.343,76.341,75.976
4,2,1,79.495,79.683,79.495,79.409
5,2,1,69.085,69.477,69.085,69.057
6,2,1,70.662,70.703,70.662,70.563
7,2,1,66.246,66.469,66.246,66.246
8,2,1,78.549,80.503,78.549,78.04
9,2,1,75.71,76.677,75.71,75.335
10,2,1,75.394,76.885,75.394,74.86
11,2,1,74.132,75.362,74.132,73.62
12,2,1,77.603,78.167,77.603,77.388
13,2,1,76.972,76.969,76.972,76.951
14,2,1,79.18,79.74,79.18,78.993
15,2,1,66.877,67.21,66.877,66.468
16,2,1,78.864,79.47,78.864,78.662
17,2,1,65.931,65.931,65.931,65.931
18,2,1,78.864,81.703,78.864,78.2
19,2,1,69.401,69.383,69.401,69.358
20,2,1,63.722,63.755,63.722,63.733
21,2,1,80.757,80.901,80.757,80.692
22,2,1,80.757,80.901,80.757,80.692
23,2,1,73.502,73.634,73.502,73.378
24,2,1,81.073,81.812,81.073,80.879
25,2,1,81.388,82.347,81.388,81.158
26,2,1,79.18,79.74,79.18,78.993
27,2,1,83.912,84.552,83.912,83.777
28,2,1,67.823,67.905,67.823,67.643
29,2,1,83.281,84.03,83.281,83.12
30,2,1,66.246,68.055,66.246,65.757
31,2,1,64.669,64.745,64.669,64.684
32,2,1,81.388,81.385,81.388,81.379
33,2,1,79.18,79.18,79.18,79.18
34,2,1,82.019,82.044,82.019,82.024
