iter,step,fold,acc,prec,rec,f1score
0,2,0,70.032,70.741,70.032,69.87
1,2,0,76.025,76.661,76.025,75.818
2,2,0,76.025,76.661,76.025,75.818
3,2,0,75.71,76.099,75.71,75.567
4,2,0,77.603,77.607,77.603,77.604
5,2,0,76.341,76.477,76.341,76.279
6,2,0,76.341,76.477,76.341,76.279
7,2,0,75.71,76.506,75.71,75.454
8,2,0,75.71,76.506,75.71,75.454
9,2,0,81.703,81.99,81.703,81.636
10,2,0,81.703,81.99,81.703,81.636
11,2,0,80.757,81.253,80.757,80.644
12,2,0,80.757,81.253,80.757,80.644
13,2,0,74.763,74.82,74.763,74.765
14,2,0,74.763,74.82,74.763,74.765
15,2,0,71.609,71.894,71.609,71.568
16,2,0,75.394,75.91,75.394,75.21
17,2,0,70.347,71.015,70.347,70.201
18,2,0,75.71,75.784,75.71,75.71
19,2,0,72.24,72.29,72.24,72.193
20,2,0,76.972,77.168,76.972,76.896
21,2,0,78.549,78.598,78.549,78.523
22,2,0,78.549,78.598,78.549,78.523
23,2,0,77.287,77.287,77.287,77.287
24,2,0,80.757,80.931,80.757,80.707
25,2,0,68.77,69.544,68.77,68.57
26,2,0,80.126,80.295,80.126,80.075
27,2,0,81.388,81.567,81.388,81.34
28,2,0,81.388,81.567,81.388,81.34
29,2,0,75.079,75.152,75.079,75.079
30,2,0,75.079,75.104,75.079,75.055
31,2,0,81.388,81.466,81.388,81.361
32,2,0,81.388,81.466,81.388,81.361
33,2,0,73.502,73.685,73.502,73.404
34,2,0,75.079,75.204,75.079,75.014
35,2,0,73.817,73.889,73.817,73.817
36,2,0,78.864,78.931,78.864,78.834
37,2,0,81.073,81.171,81.073,81.04
38,2,0,81.073,81.171,81.073,81.04
39,2,0,81.703,81.856,81.703,81.662
40,2,0,81.703,81.856,81.703,81.662
41,2,0,77.603,77.607,77.603,77.604
42,2,0,81.388,81.512,81.388,81.351
43,2,0,76.656,76.849,76.656,76.642
44,2,0,76.656,76.849,76.656,76.642
45,2,0,63.722,65.031,63.722,63.156
46,2,0,74.763,74.793,74.763,74.766
47,2,0,82.334,82.629,82.334,82.269
48,2,0,82.334,82.629,82.334,82.269
49,2,0,82.019,82.204,82.019,81.972
50,2,0,82.019,82.204,82.019,81.972
0,2,1,62.776,62.852,62.776,62.792
1,2,1,67.508,68.203,67.508,66.894
2,2,1,68.139,68.779,68.139,67.594
3,2,1,65.615,65.889,65.615,65.605
4,2,1,65.615,65.889,65.615,65.605
5,2,1,70.032,70.043,70.032,69.952
6,2,1,70.032,70.043,70.032,69.952
7,2,1,72.24,72.282,72.24,72.156
8,2,1,72.24,72.282,72.24,72.156
9,2,1,67.192,67.574,67.192,66.763
10,2,1,67.192,67.574,67.192,66.763
11,2,1,63.407,63.39,63.407,63.396
12,2,1,77.603,77.601,77.603,77.582
13,2,1,76.972,77.127,76.972,76.875
14,2,1,76.972,77.127,76.972,76.875
15,2,1,78.549,78.696,78.549,78.468
16,2,1,78.549,78.696,78.549,78.468
17,2,1,74.448,74.843,74.448,74.431
18,2,1,75.71,76.212,75.71,75.477
19,2,1,80.126,80.896,80.126,79.909
20,2,1,80.126,80.896,80.126,79.909
21,2,1,79.811,80.108,79.811,79.698
22,2,1,76.341,76.968,76.341,76.082
23,2,1,78.549,78.902,78.549,78.406
24,2,1,78.549,78.902,78.549,78.406
25,2,1,62.776,62.852,62.776,62.792
26,2,1,78.864,79.47,78.864,78.662
27,2,1,77.918,78.547,77.918,77.692
28,2,1,77.918,78.547,77.918,77.692
29,2,1,69.716,69.99,69.716,69.445
30,2,1,71.293,71.374,71.293,71.172
31,2,1,72.555,72.652,72.555,72.44
32,2,1,72.555,72.652,72.555,72.44
33,2,1,67.823,67.989,67.823,67.574
34,2,1,68.454,69.383,68.454,67.77
35,2,1,68.454,68.976,68.454,67.993
36,2,1,80.126,81.178,80.126,79.851
37,2,1,77.287,77.303,77.287,77.292
38,2,1,77.287,77.303,77.287,77.292
39,2,1,80.757,82.003,80.757,80.46
40,2,1,80.757,82.003,80.757,80.46
41,2,1,74.763,74.774,74.763,74.721
42,2,1,74.763,74.774,74.763,74.721
43,2,1,62.461,62.436,62.461,62.443
44,2,1,81.388,83.045,81.388,81.037
45,2,1,67.508,67.602,67.508,67.309
46,2,1,80.126,80.661,80.126,79.96
47,2,1,71.924,72.682,71.924,71.491
48,2,1,71.924,72.682,71.924,71.491
49,2,1,69.085,69.64,69.085,68.633
50,2,1,80.126,81.338,80.126,79.82
0,2,2,66.877,67.65,66.877,66.609
1,2,2,70.347,70.682,70.347,70.17
2,2,2,70.347,70.682,70.347,70.17
3,2,2,69.716,69.967,69.716,69.663
4,2,2,69.716,69.967,69.716,69.663
5,2,2,74.132,74.215,74.132,74.126
6,2,2,74.132,74.215,74.132,74.126
7,2,2,70.032,70.327,70.032,69.868
8,2,2,70.032,70.327,70.032,69.868
9,2,2,72.24,72.737,72.24,72.136
10,2,2,73.502,73.519,73.502,73.484
11,2,2,74.448,74.55,74.448,74.439
12,2,2,77.603,77.619,77.603,77.591
13,2,2,74.763,74.769,74.763,74.754
14,2,2,74.763,74.769,74.763,74.754
15,2,2,80.757,81.377,80.757,80.633
16,2,2,79.18,79.448,79.18,79.11
17,2,2,79.811,79.91,79.811,79.781
18,2,2,79.811,79.91,79.811,79.781
19,2,2,79.18,79.381,79.18,79.124
20,2,2,79.18,79.381,79.18,79.124
21,2,2,78.864,79.246,78.864,78.768
22,2,2,79.18,79.323,79.18,79.137
23,2,2,74.763,74.837,74.763,74.726
24,2,2,77.287,77.684,77.287,77.173
25,2,2,80.126,80.444,80.126,80.052
26,2,2,80.126,80.444,80.126,80.052
27,2,2,79.495,79.888,79.495,79.402
28,2,2,79.495,79.888,79.495,79.402
29,2,2,80.442,80.544,80.442,80.412
30,2,2,80.442,80.544,80.442,80.412
31,2,2,79.18,79.209,79.18,79.166
32,2,2,79.18,79.209,79.18,79.166
33,2,2,79.495,79.805,79.495,79.419
34,2,2,79.495,79.805,79.495,79.419
35,2,2,80.442,80.544,80.442,80.412
36,2,2,80.442,80.544,80.442,80.412
37,2,2,75.71,75.726,75.71,75.711
38,2,2,75.71,75.726,75.71,75.711
39,2,2,69.085,69.192,69.085,69.07
40,2,2,75.394,75.403,75.394,75.396
41,2,2,80.126,80.206,80.126,80.101
42,2,2,80.126,80.206,80.126,80.101
43,2,2,62.461,64.691,62.461,61.235
44,2,2,73.186,73.186,73.186,73.18
45,2,2,73.186,73.745,73.186,73.075
46,2,2,77.287,77.296,77.287,77.288
47,2,2,60.252,62.217,60.252,58.907
48,2,2,77.918,77.971,77.918,77.917
49,2,2,74.763,74.784,74.763,74.747
50,2,2,78.549,78.549,78.549,78.549
0,5,0,70.032,70.741,70.032,69.87
1,5,0,77.603,77.806,77.603,77.529
2,5,0,77.603,77.806,77.603,77.529
3,5,0,73.502,73.591,73.502,73.499
4,5,0,80.442,80.643,80.442,80.384
5,5,0,78.549,79.046,78.549,78.412
6,5,0,75.079,75.509,75.079,75.022
7,5,0,75.71,75.928,75.71,75.691
8,5,0,75.71,75.928,75.71,75.691
9,5,0,81.388,81.798,81.388,81.296
10,5,0,81.388,81.466,81.388,81.361
11,5,0,82.019,82.064,82.019,82.001
12,5,0,81.703,81.764,81.703,81.682
13,5,0,78.864,79.151,78.864,78.778
14,5,0,78.864,79.151,78.864,78.778
15,5,0,79.18,79.691,79.18,79.047
16,5,0,82.019,82.204,82.019,81.972
17,5,0,76.025,76.055,76.025,76.028
18,5,0,76.972,77.196,76.972,76.954
19,5,0,79.18,79.187,79.18,79.171
20,5,0,79.18,79.187,79.18,79.171
0,5,1,62.776,62.852,62.776,62.792
1,5,1,71.609,73.456,71.609,70.75
2,5,1,71.609,73.456,71.609,70.75
3,5,1,71.293,71.295,71.293,71.237
4,5,1,71.293,71.295,71.293,71.237
5,5,1,75.079,75.068,75.079,75.067
6,5,1,69.401,69.38,69.401,69.373
