iter,step,fold,acc,prec,rec,f1score
0,2,0,71.924,74.063,71.924,71.133
1,2,0,70.662,70.731,70.662,70.662
2,2,0,73.186,73.206,73.186,73.189
3,2,0,66.877,69.998,66.877,65.25
4,2,0,74.448,74.521,74.448,74.448
5,2,0,83.281,84.218,83.281,83.126
6,2,0,83.281,84.218,83.281,83.126
7,2,0,78.233,81.097,78.233,77.62
8,2,0,78.233,81.097,78.233,77.62
9,2,0,76.972,77.232,76.972,76.878
10,2,0,78.864,78.884,78.864,78.867
11,2,0,74.763,75.465,74.763,74.514
12,2,0,74.763,75.465,74.763,74.514
13,2,0,72.555,72.594,72.555,72.516
14,2,0,77.603,77.947,77.603,77.492
15,2,0,68.454,68.484,68.454,68.401
16,2,0,78.864,79.784,78.864,78.642
17,2,0,77.918,78.502,77.918,77.753
18,2,0,85.489,85.741,85.489,85.446
19,2,0,76.656,76.667,76.656,76.658
20,2,0,76.656,76.667,76.656,76.658
21,2,0,78.233,78.246,78.233,78.22
22,2,0,83.281,83.947,83.281,83.165
23,2,0,68.454,68.466,68.454,68.417
24,2,0,80.126,80.166,80.126,80.107
25,2,0,84.858,85.382,84.858,84.776
26,2,0,84.858,85.382,84.858,84.776
27,2,0,73.186,73.391,73.186,73.165
28,2,0,77.603,78.917,77.603,77.269
29,2,0,87.697,88.013,87.697,87.657
30,2,0,87.697,88.013,87.697,87.657
31,2,0,78.549,78.678,78.549,78.5
32,2,0,77.918,78.095,77.918,77.853
33,2,0,78.233,80.149,78.233,77.797
34,2,0,78.233,80.149,78.233,77.797
35,2,0,72.871,73.504,72.871,72.603
36,2,0,76.972,80.232,76.972,76.216
37,2,0,68.77,68.775,68.77,68.772
38,2,0,81.703,81.764,81.703,81.682
39,2,0,76.025,76.24,76.025,75.937
40,2,0,82.65,84.678,82.65,82.333
41,2,0,80.126,81.773,80.126,79.798
42,2,0,83.281,84.373,83.281,83.105
43,2,0,72.555,73.719,72.555,72.102
44,2,0,73.817,75.061,73.817,73.385
45,2,0,80.757,80.996,80.757,80.694
46,2,0,80.757,80.996,80.757,80.694
47,2,0,70.662,70.717,70.662,70.604
48,2,0,82.334,84.953,82.334,81.929
49,2,0,76.341,79.803,76.341,75.506
50,2,0,76.341,79.803,76.341,75.506
0,2,1,66.877,69.087,66.877,65.401
1,2,1,62.461,62.436,62.461,62.443
2,2,1,67.192,67.263,67.192,67.008
3,2,1,76.972,77.869,76.972,76.653
4,2,1,76.972,77.869,76.972,76.653
5,2,1,60.568,60.51,60.568,60.49
6,2,1,62.461,62.413,62.461,62.361
7,2,1,68.454,69.383,68.454,67.77
8,2,1,68.454,69.383,68.454,67.77
9,2,1,70.032,72.16,70.032,68.941
10,2,1,70.032,72.16,70.032,68.941
11,2,1,69.716,70.132,69.716,69.364
12,2,1,69.716,70.132,69.716,69.364
13,2,1,76.341,76.598,76.341,76.341
14,2,1,81.703,82.035,81.703,81.601
15,2,1,64.984,66.239,64.984,63.799
16,2,1,70.032,70.685,70.032,69.569
17,2,1,75.394,75.464,75.394,75.32
18,2,1,75.394,75.464,75.394,75.32
19,2,1,56.151,57.002,56.151,55.706
20,2,1,67.508,68.535,67.508,66.704
21,2,1,69.085,69.946,69.085,68.473
22,2,1,74.132,74.162,74.132,74.073
23,2,1,75.079,75.083,75.079,75.044
24,2,1,75.079,75.083,75.079,75.044
25,2,1,70.978,71.853,70.978,70.456
26,2,1,76.025,76.025,76.025,75.998
27,2,1,86.751,87.282,86.751,86.663
28,2,1,86.751,87.282,86.751,86.663
29,2,1,66.877,68.895,66.877,65.494
30,2,1,66.877,68.895,66.877,65.494
31,2,1,76.656,78.866,76.656,76.003
32,2,1,76.656,78.866,76.656,76.003
33,2,1,68.139,68.779,68.139,67.594
34,2,1,68.139,68.779,68.139,67.594
35,2,1,71.293,71.817,71.293,70.939
36,2,1,71.293,71.817,71.293,70.939
37,2,1,63.722,63.721,63.722,63.537
38,2,1,69.085,70.147,69.085,68.897
39,2,1,73.817,75.101,73.817,73.274
40,2,1,73.817,75.101,73.817,73.274
41,2,1,65.3,65.366,65.3,65.069
42,2,1,78.549,79.453,78.549,78.268
43,2,1,74.448,75.122,74.448,74.389
44,2,1,74.448,75.122,74.448,74.389
45,2,1,72.871,72.913,72.871,72.88
46,2,1,73.817,75.821,73.817,73.055
47,2,1,82.965,83.472,82.965,82.95
48,2,1,82.965,83.472,82.965,82.95
49,2,1,73.502,73.494,73.502,73.471
50,2,1,73.502,73.494,73.502,73.471
0,2,2,69.716,71.751,69.716,68.862
1,2,2,65.3,65.323,65.3,65.301
2,2,2,65.3,65.323,65.3,65.301
3,2,2,68.454,68.476,68.454,68.422
4,2,2,68.454,68.476,68.454,68.422
5,2,2,68.139,68.858,68.139,67.917
6,2,2,68.139,68.858,68.139,67.917
7,2,2,70.032,76.938,70.032,67.789
8,2,2,70.032,76.938,70.032,67.789
9,2,2,75.079,78.399,75.079,74.23
10,2,2,75.079,78.399,75.079,74.23
11,2,2,64.984,64.979,64.984,64.976
12,2,2,77.287,77.532,77.287,77.211
13,2,2,67.192,67.294,67.192,67.176
14,2,2,68.454,69.346,68.454,67.983
15,2,2,78.233,78.694,78.233,78.114
16,2,2,78.233,78.694,78.233,78.114
17,2,2,69.401,72.866,69.401,68.033
18,2,2,77.287,77.374,77.287,77.253
19,2,2,70.347,72.87,70.347,69.373
20,2,2,76.025,76.685,76.025,75.831
21,2,2,67.508,67.618,67.508,67.41
22,2,2,74.763,74.876,74.763,74.712
23,2,2,75.71,76.948,75.71,75.366
24,2,2,73.502,74.187,73.502,73.255
25,2,2,75.71,76.948,75.71,75.366
26,2,2,75.71,76.948,75.71,75.366
27,2,2,73.186,73.309,73.186,73.123
28,2,2,73.186,73.309,73.186,73.123
29,2,2,70.662,70.661,70.662,70.655
30,2,2,76.656,77.13,76.656,76.517
31,2,2,77.603,77.963,77.603,77.5
32,2,2,78.549,79.285,78.549,78.375
33,2,2,75.71,76.119,75.71,75.577
34,2,2,75.71,76.119,75.71,75.577
35,2,2,64.984,64.982,64.984,64.967
36,2,2,64.984,64.982,64.984,64.967
37,2,2,78.233,81.132,78.233,77.643
38,2,2,77.603,78.253,77.603,77.434
39,2,2,71.609,71.667,71.609,71.566
40,2,2,77.603,78.785,77.603,77.319
41,2,2,78.233,79.022,78.233,78.044
42,2,2,78.233,79.022,78.233,78.044
43,2,2,65.615,65.612,65.615,65.613
44,2,2,78.864,79.165,78.864,78.785
45,2,2,84.858,86.711,84.858,84.632
46,2,2,84.858,86.711,84.858,84.632
47,2,2,69.401,69.683,69.401,69.233
48,2,2,78.233,78.902,78.233,78.07
49,2,2,74.448,74.504,74.448,74.416
50,2,2,74.448,74.504,74.448,74.416
0,5,0,71.924,74.063,71.924,71.133
1,5,0,77.287,77.285,77.287,77.283
2,5,0,77.287,77.285,77.287,77.283
3,5,0,70.032,70.028,70.032,70.029
4,5,0,82.965,83.967,82.965,82.797
5,5,0,74.448,78.863,74.448,73.269
6,5,0,74.448,78.863,74.448,73.269
7,5,0,74.448,75.443,74.448,74.107
8,5,0,78.864,80.624,78.864,78.479
9,5,0,76.656,76.675,76.656,76.638
10,5,0,76.656,76.675,76.656,76.638
11,5,0,84.858,85.034,84.858,84.824
12,5,0,84.858,85.034,84.858,84.824
13,5,0,73.817,75.754,73.817,73.19
14,5,0,75.71,75.928,75.71,75.691
15,5,0,72.24,72.322,72.24,72.177
16,5,0,74.763,74.763,74.763,74.763
17,5,0,70.662,72.134,70.662,70.019
18,5,0,70.662,72.134,70.662,70.019
19,5,0,82.965,84.903,82.965,82.669
20,5,0,82.965,84.903,82.965,82.669
0,5,1,66.877,69.087,66.877,65.401
1,5,1,74.763,74.838,74.763,74.774
2,5,1,74.763,74.838,74.763,74.774
3,5,1,66.246,66.618,66.246,65.779
4,5,1,73.186,74.765,73.186,72.948
5,5,1,67.508,67.735,67.508,67.508
6,5,1,74.132,74.274,74.132,74.012
7,5,1,67.192,67.189,67.192,67.094
8,5,1,71.924,73.366,71.924,71.23
9,5,1,60.883,61.028,60.883,60.895
10,5,1,70.978,72.575,70.978,70.166
11,5,1,67.192,67.574,67.192,66.763
12,5,1,77.287,80.061,77.287,76.546
13,5,1,64.353,64.385,64.353,64.135
14,5,1,67.508,67.483,67.508,67.479
15,5,1,61.199,61.233,61.199,61.21
16,5,1,62.461,62.695,62.461,61.881
17,5,1,62.145,62.387,62.145,61.53
18,5,1,62.145,62.387,62.145,61.53
19,5,1,47.95,48.55,47.95,46.276
20,5,1,61.83,61.792,61.83,61.795
0,5,2,69.716,71.751,69.716,68.862
1,5,2,78.549,79.859,78.549,78.261
2,5,2,78.549,79.859,78.549,78.261
3,5,2,68.139,69.185,68.139,67.584
4,5,2,72.555,72.618,72.555,72.551
5,5,2,78.864,80.109,78.864,78.597
6,5,2,78.864,80.109,78.864,78.597
7,5,2,76.341,79.026,76.341,75.699
8,5,2,76.341,79.026,76.341,75.699
9,5,2,74.132,75.213,74.132,73.786
10,5,2,74.132,75.213,74.132,73.786
11,5,2,76.972,82.331,76.972,75.875
12,5,2,76.972,82.331,76.972,75.875
13,5,2,72.24,72.737,72.24,72.136
14,5,2,81.073,81.886,81.073,80.919
15,5,2,82.65,85.188,82.65,82.285
16,5,2,83.912,84.121,83.912,83.874
17,5,2,78.233,80.18,78.233,77.816
18,5,2,78.233,80.18,78.233,77.816
19,5,2,85.489,85.832,85.489,85.44
20,5,2,85.489,85.832,85.489,85.44
0,10,0,71.924,74.063,71.924,71.133
1,10,0,69.401,70.302,69.401,69.173
2,10,0,69.401,70.302,69.401,69.173
3,10,0,77.603,77.77,77.603,77.593
4,10,0,77.603,77.77,77.603,77.593
5,10,0,63.407,64.749,63.407,62.25
6,10,0,74.132,74.189,74.132,74.134
7,10,0,73.502,74.267,73.502,73.205
8,10,0,88.328,89.12,88.328,88.247
9,10,0,72.24,74.739,72.24,71.362
10,10,0,84.858,86.283,84.858,84.667
0,10,1,66.877,69.087,66.877,65.401
1,10,1,76.972,77.077,76.972,76.894
2,10,1,76.972,77.077,76.972,76.894
3,10,1,73.186,73.743,73.186,73.141
4,10,1,77.287,80.623,77.287,76.431
5,10,1,77.918,78.933,77.918,77.595
6,10,1,77.918,78.933,77.918,77.595
7,10,1,85.174,86.871,85.174,84.92
8,10,1,85.174,86.871,85.174,84.92
9,10,1,78.549,79.453,78.549,78.268
10,10,1,87.382,88.19,87.382,87.269
0,10,2,69.716,71.751,69.716,68.862
1,10,2,68.454,75.956,68.454,65.777
2,10,2,71.609,72.328,71.609,71.309
3,10,2,65.931,68.6,65.931,64.456
4,10,2,66.877,67.185,66.877,66.789
5,10,2,78.549,79.064,78.549,78.421
6,10,2,78.549,79.064,78.549,78.421
7,10,2,76.341,76.608,76.341,76.252
8,10,2,76.341,76.608,76.341,76.252
9,10,2,70.978,71.779,70.978,70.631
10,10,2,71.609,73.295,71.609,70.985
