iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.766,89.59,89.569
2,2,0,89.59,89.766,89.59,89.569
3,2,0,89.905,90.119,89.905,89.882
4,2,0,89.905,90.119,89.905,89.882
5,2,0,89.59,89.84,89.59,89.563
6,2,0,89.59,89.84,89.59,89.563
7,2,0,89.905,90.119,89.905,89.882
8,2,0,89.905,90.119,89.905,89.882
9,2,0,90.221,90.476,90.221,90.195
10,2,0,90.221,90.476,90.221,90.195
11,2,0,90.536,90.838,90.536,90.508
12,2,0,90.536,90.838,90.536,90.508
13,2,0,90.852,91.113,90.852,90.828
14,2,0,90.852,91.113,90.852,90.828
15,2,0,90.852,91.113,90.852,90.828
16,2,0,90.852,91.113,90.852,90.828
17,2,0,91.167,91.475,91.167,91.141
18,2,0,91.167,91.475,91.167,91.141
19,2,0,91.167,91.475,91.167,91.141
20,2,0,90.536,90.838,90.536,90.508
21,2,0,91.167,91.573,91.167,91.135
22,2,0,91.167,91.573,91.167,91.135
23,2,0,91.167,91.573,91.167,91.135
24,2,0,91.167,91.573,91.167,91.135
25,2,0,91.167,91.573,91.167,91.135
26,2,0,91.167,91.573,91.167,91.135
27,2,0,91.167,91.573,91.167,91.135
28,2,0,91.167,91.573,91.167,91.135
29,2,0,91.167,91.573,91.167,91.135
30,2,0,91.167,91.573,91.167,91.135
31,2,0,91.167,91.573,91.167,91.135
32,2,0,91.167,91.573,91.167,91.135
33,2,0,91.167,91.573,91.167,91.135
34,2,0,91.167,91.573,91.167,91.135
35,2,0,91.167,91.573,91.167,91.135
36,2,0,91.167,91.573,91.167,91.135
37,2,0,91.483,91.841,91.483,91.455
38,2,0,91.483,91.841,91.483,91.455
39,2,0,91.798,92.112,91.798,91.774
40,2,0,91.798,92.112,91.798,91.774
41,2,0,92.429,92.662,92.429,92.412
42,2,0,92.429,92.662,92.429,92.412
43,2,0,92.744,93.022,92.744,92.726
44,2,0,92.744,93.022,92.744,92.726
45,2,0,92.744,93.022,92.744,92.726
46,2,0,92.744,93.022,92.744,92.726
47,2,0,93.06,93.297,93.06,93.044
48,2,0,93.06,93.297,93.06,93.044
49,2,0,94.006,94.211,94.006,93.994
50,2,0,94.006,94.211,94.006,93.994
0,2,1,89.905,89.92,89.905,89.899
1,2,1,90.221,90.228,90.221,90.216
2,2,1,90.221,90.228,90.221,90.216
3,2,1,90.852,90.881,90.852,90.844
4,2,1,90.852,90.881,90.852,90.844
5,2,1,91.167,91.184,91.167,91.161
6,2,1,90.536,90.552,90.536,90.53
7,2,1,90.536,90.552,90.536,90.53
8,2,1,90.536,90.552,90.536,90.53
9,2,1,90.852,90.881,90.852,90.844
10,2,1,90.852,90.881,90.852,90.844
11,2,1,91.167,91.184,91.167,91.161
