iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.766,89.59,89.569
2,2,0,89.905,90.119,89.905,89.882
3,2,0,90.536,90.755,90.536,90.515
4,2,0,91.167,91.475,91.167,91.141
5,2,0,91.483,91.841,91.483,91.455
6,2,0,91.483,91.841,91.483,91.455
7,2,0,92.429,92.662,92.429,92.412
8,2,0,92.429,92.662,92.429,92.412
9,2,0,92.744,92.941,92.744,92.73
10,2,0,94.006,94.211,94.006,93.994
11,2,0,94.322,94.492,94.322,94.312
12,2,0,94.953,95.062,94.953,94.947
13,2,0,94.953,95.062,94.953,94.947
14,2,0,94.953,95.062,94.953,94.947
15,2,0,94.953,95.062,94.953,94.947
16,2,0,95.268,95.409,95.268,95.261
17,2,0,95.268,95.409,95.268,95.261
18,2,0,94.953,95.062,94.953,94.947
19,2,0,95.268,95.409,95.268,95.261
20,2,0,95.268,95.409,95.268,95.261
21,2,0,95.268,95.409,95.268,95.261
22,2,0,95.268,95.409,95.268,95.261
23,2,0,95.268,95.409,95.268,95.261
24,2,0,95.584,95.645,95.584,95.58
25,2,0,95.584,95.645,95.584,95.58
26,2,0,95.584,95.61,95.584,95.582
27,2,0,95.584,95.61,95.584,95.582
28,2,0,94.637,94.678,94.637,94.634
29,2,0,94.637,94.678,94.637,94.634
30,2,0,94.953,94.958,94.953,94.952
31,2,0,94.637,94.678,94.637,94.634
32,2,0,94.953,94.979,94.953,94.95
33,2,0,95.268,95.31,95.268,95.265
34,2,0,95.899,95.942,95.899,95.897
35,2,0,95.584,95.645,95.584,95.58
36,2,0,95.268,95.31,95.268,95.265
37,2,0,94.953,95.013,94.953,94.949
38,2,0,95.268,95.31,95.268,95.265
39,2,0,95.268,95.31,95.268,95.265
40,2,0,95.268,95.269,95.268,95.268
41,2,0,95.268,95.269,95.268,95.268
42,2,0,94.953,94.958,94.953,94.952
43,2,0,95.268,95.282,95.268,95.267
44,2,0,95.268,95.269,95.268,95.268
45,2,0,95.268,95.269,95.268,95.268
46,2,0,94.637,94.651,94.637,94.636
47,2,0,94.637,94.678,94.637,94.634
48,2,0,94.637,94.678,94.637,94.634
49,2,0,94.637,94.651,94.637,94.636
50,2,0,94.637,94.678,94.637,94.634
0,2,1,89.905,89.92,89.905,89.899
1,2,1,90.221,90.228,90.221,90.216
2,2,1,91.167,91.184,91.167,91.161
3,2,1,91.167,91.184,91.167,91.161
4,2,1,91.167,91.184,91.167,91.161
5,2,1,91.167,91.184,91.167,91.161
6,2,1,92.744,92.815,92.744,92.734
7,2,1,92.744,92.815,92.744,92.734
8,2,1,93.375,93.449,93.375,93.366
9,2,1,93.375,93.449,93.375,93.366
10,2,1,94.006,94.135,94.006,93.994
11,2,1,94.006,94.082,94.006,93.998
