iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,88.959,89.204,88.959,88.93
2,2,0,88.013,88.212,88.013,87.985
3,2,0,88.013,88.212,88.013,87.985
4,2,0,87.382,87.652,87.382,87.345
5,2,0,87.382,87.652,87.382,87.345
6,2,0,87.382,87.652,87.382,87.345
7,2,0,87.382,87.652,87.382,87.345
8,2,0,85.804,85.956,85.804,85.776
9,2,0,84.858,84.895,84.858,84.846
10,2,0,83.596,83.597,83.596,83.593
11,2,0,83.281,83.28,83.281,83.279
12,2,0,83.596,83.608,83.596,83.589
13,2,0,83.596,83.608,83.596,83.589
14,2,0,82.965,82.966,82.965,82.962
15,2,0,82.965,82.966,82.965,82.962
16,2,0,82.334,82.334,82.334,82.334
17,2,0,81.073,81.103,81.073,81.075
18,2,0,81.073,81.103,81.073,81.075
19,2,0,81.073,81.103,81.073,81.075
20,2,0,80.757,80.801,80.757,80.759
21,2,0,80.757,80.801,80.757,80.759
22,2,0,80.442,80.472,80.442,80.444
23,2,0,80.442,80.472,80.442,80.444
24,2,0,78.864,78.941,78.864,78.864
25,2,0,78.864,79.036,78.864,78.855
26,2,0,78.549,78.693,78.549,78.542
27,2,0,78.864,78.984,78.864,78.861
28,2,0,78.549,78.693,78.549,78.542
29,2,0,78.549,78.693,78.549,78.542
30,2,0,78.549,78.693,78.549,78.542
31,2,0,78.549,78.693,78.549,78.542
32,2,0,78.233,78.352,78.233,78.23
33,2,0,78.233,78.352,78.233,78.23
34,2,0,77.918,78.014,77.918,77.916
35,2,0,77.918,78.014,77.918,77.916
36,2,0,77.918,78.014,77.918,77.916
37,2,0,77.603,77.72,77.603,77.599
38,2,0,77.603,77.72,77.603,77.599
39,2,0,77.603,77.72,77.603,77.599
40,2,0,77.603,77.72,77.603,77.599
41,2,0,77.603,77.72,77.603,77.599
42,2,0,77.603,77.72,77.603,77.599
43,2,0,77.603,77.72,77.603,77.599
44,2,0,77.603,77.72,77.603,77.599
45,2,0,77.603,77.72,77.603,77.599
46,2,0,77.603,77.72,77.603,77.599
47,2,0,77.603,77.72,77.603,77.599
48,2,0,77.603,77.72,77.603,77.599
49,2,0,77.603,77.72,77.603,77.599
50,2,0,77.603,77.72,77.603,77.599
0,2,1,89.905,89.92,89.905,89.899
1,2,1,89.905,89.92,89.905,89.899
2,2,1,89.274,89.288,89.274,89.267
3,2,1,89.59,89.596,89.59,89.585
4,2,1,86.12,86.12,86.12,86.12
5,2,1,85.489,85.489,85.489,85.489
6,2,1,85.174,85.171,85.174,85.171
7,2,1,85.489,85.489,85.489,85.489
8,2,1,84.543,84.543,84.543,84.535
9,2,1,84.543,84.543,84.543,84.535
10,2,1,83.596,83.601,83.596,83.585
11,2,1,82.65,82.647,82.65,82.647
12,2,1,80.442,80.516,80.442,80.45
13,2,1,79.811,79.928,79.811,79.819
14,2,1,78.864,79.064,78.864,78.869
15,2,1,78.549,78.779,78.549,78.551
16,2,1,78.233,78.432,78.233,78.238
17,2,1,78.233,78.432,78.233,78.238
18,2,1,77.603,77.864,77.603,77.603
19,2,1,77.603,77.864,77.603,77.603
20,2,1,76.025,76.475,76.025,76.004
21,2,1,75.394,75.93,75.394,75.36
22,2,1,73.502,74.325,73.502,73.412
23,2,1,73.502,74.325,73.502,73.412
24,2,1,73.186,74.061,73.186,73.085
25,2,1,73.186,74.061,73.186,73.085
26,2,1,73.186,74.061,73.186,73.085
27,2,1,73.186,74.061,73.186,73.085
28,2,1,72.871,73.681,72.871,72.779
29,2,1,73.186,74.061,73.186,73.085
30,2,1,73.186,73.947,73.186,73.106
31,2,1,73.502,74.325,73.502,73.412
32,2,1,73.186,73.947,73.186,73.106
33,2,1,72.871,73.681,72.871,72.779
34,2,1,72.871,73.681,72.871,72.779
35,2,1,72.871,73.681,72.871,72.779
36,2,1,72.555,73.416,72.555,72.452
37,2,1,72.555,73.416,72.555,72.452
38,2,1,72.24,73.152,72.24,72.123
39,2,1,72.555,73.416,72.555,72.452
40,2,1,72.871,73.681,72.871,72.779
41,2,1,72.555,73.416,72.555,72.452
42,2,1,72.24,73.152,72.24,72.123
43,2,1,72.24,73.152,72.24,72.123
44,2,1,72.24,73.152,72.24,72.123
45,2,1,72.24,73.152,72.24,72.123
46,2,1,71.924,72.888,71.924,71.794
47,2,1,71.924,72.888,71.924,71.794
48,2,1,71.924,72.888,71.924,71.794
49,2,1,71.924,72.888,71.924,71.794
50,2,1,71.924,72.888,71.924,71.794
0,2,2,88.644,88.787,88.644,88.627
1,2,2,88.328,88.501,88.328,88.308
2,2,2,87.382,87.659,87.382,87.348
3,2,2,87.066,87.383,87.066,87.027
4,2,2,86.751,86.947,86.751,86.724
5,2,2,86.435,86.665,86.435,86.404
6,2,2,86.12,86.385,86.12,86.083
7,2,2,86.12,86.385,86.12,86.083
8,2,2,82.965,83.08,82.965,82.94
9,2,2,82.019,82.069,82.019,82.004
10,2,2,80.757,80.762,80.757,80.752
11,2,2,80.126,80.125,80.126,80.125
12,2,2,80.126,80.125,80.126,80.125
13,2,2,80.126,80.125,80.126,80.125
14,2,2,79.811,79.811,79.811,79.808
15,2,2,79.811,79.811,79.811,79.808
16,2,2,78.549,78.558,78.549,78.55
17,2,2,78.864,78.868,78.864,78.865
18,2,2,78.549,78.558,78.549,78.55
19,2,2,78.549,78.558,78.549,78.55
20,2,2,78.233,78.25,78.233,78.235
21,2,2,77.603,77.619,77.603,77.604
22,2,2,77.603,77.641,77.603,77.603
23,2,2,77.603,77.641,77.603,77.603
24,2,2,76.025,76.153,76.025,76.013
25,2,2,75.079,75.281,75.079,75.053
26,2,2,74.132,74.422,74.132,74.087
27,2,2,74.132,74.422,74.132,74.087
28,2,2,73.186,73.574,73.186,73.115
29,2,2,73.186,73.574,73.186,73.115
30,2,2,72.555,73.015,72.555,72.463
31,2,2,72.24,72.654,72.24,72.157
32,2,2,72.24,72.654,72.24,72.157
33,2,2,71.924,72.374,71.924,71.83
34,2,2,71.609,72.095,71.609,71.503
35,2,2,71.609,72.095,71.609,71.503
36,2,2,71.609,72.095,71.609,71.503
37,2,2,71.609,72.095,71.609,71.503
38,2,2,71.924,72.374,71.924,71.83
39,2,2,71.924,72.374,71.924,71.83
40,2,2,71.924,72.374,71.924,71.83
41,2,2,71.924,72.374,71.924,71.83
42,2,2,71.924,72.374,71.924,71.83
43,2,2,71.924,72.374,71.924,71.83
44,2,2,71.609,72.014,71.609,71.524
45,2,2,71.609,72.014,71.609,71.524
46,2,2,71.609,72.014,71.609,71.524
47,2,2,71.609,72.014,71.609,71.524
48,2,2,71.609,72.014,71.609,71.524
49,2,2,71.609,72.014,71.609,71.524
50,2,2,71.609,72.014,71.609,71.524
0,5,0,89.59,89.84,89.59,89.563
1,5,0,88.644,88.926,88.644,88.61
