iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.905,90.201,89.905,89.876
2,2,0,88.328,88.496,88.328,88.305
3,2,0,88.644,88.848,88.644,88.618
4,2,0,88.013,88.212,88.013,87.985
5,2,0,88.328,88.496,88.328,88.305
6,2,0,88.328,88.567,88.328,88.298
7,2,0,88.644,88.848,88.644,88.618
8,2,0,87.697,87.931,87.697,87.665
9,2,0,88.013,88.289,88.013,87.977
10,2,0,87.382,87.652,87.382,87.345
11,2,0,87.382,87.652,87.382,87.345
12,2,0,86.751,86.941,86.751,86.721
13,2,0,87.066,87.226,87.066,87.041
14,2,0,84.543,84.566,84.543,84.533
15,2,0,84.543,84.566,84.543,84.533
16,2,0,83.596,83.608,83.596,83.589
17,2,0,83.596,83.608,83.596,83.589
18,2,0,83.281,83.286,83.281,83.276
19,2,0,83.281,83.286,83.281,83.276
20,2,0,82.965,82.966,82.965,82.962
21,2,0,82.965,82.966,82.965,82.962
22,2,0,82.65,82.649,82.65,82.648
23,2,0,82.965,82.966,82.965,82.962
24,2,0,81.388,81.407,81.388,81.39
25,2,0,81.073,81.103,81.073,81.075
26,2,0,80.442,80.502,80.442,80.443
27,2,0,80.442,80.502,80.442,80.443
28,2,0,79.495,79.616,79.495,79.492
29,2,0,79.495,79.616,79.495,79.492
30,2,0,79.495,79.616,79.495,79.492
31,2,0,78.864,79.036,78.864,78.855
32,2,0,78.864,79.036,78.864,78.855
33,2,0,78.864,79.036,78.864,78.855
34,2,0,78.864,79.036,78.864,78.855
35,2,0,78.864,79.036,78.864,78.855
36,2,0,78.864,79.036,78.864,78.855
37,2,0,78.864,79.036,78.864,78.855
38,2,0,78.549,78.749,78.549,78.536
39,2,0,78.549,78.749,78.549,78.536
40,2,0,78.864,79.036,78.864,78.855
41,2,0,78.864,79.036,78.864,78.855
42,2,0,78.864,79.036,78.864,78.855
43,2,0,78.864,79.036,78.864,78.855
44,2,0,78.549,78.693,78.549,78.542
45,2,0,78.549,78.693,78.549,78.542
46,2,0,78.549,78.693,78.549,78.542
47,2,0,78.549,78.693,78.549,78.542
48,2,0,78.233,78.403,78.233,78.224
49,2,0,78.233,78.403,78.233,78.224
50,2,0,78.233,78.403,78.233,78.224
0,2,1,89.905,89.92,89.905,89.899
1,2,1,89.905,89.947,89.905,89.894
2,2,1,89.905,89.92,89.905,89.899
3,2,1,89.905,89.92,89.905,89.899
4,2,1,87.697,87.719,87.697,87.686
5,2,1,87.382,87.392,87.382,87.373
6,2,1,85.174,85.171,85.174,85.171
7,2,1,85.489,85.489,85.489,85.489
8,2,1,84.543,84.543,84.543,84.535
9,2,1,85.174,85.171,85.174,85.171
10,2,1,83.912,83.925,83.912,83.897
11,2,1,83.912,83.925,83.912,83.897
12,2,1,83.596,83.601,83.596,83.585
13,2,1,83.912,83.925,83.912,83.897
14,2,1,82.65,82.647,82.65,82.647
15,2,1,82.334,82.334,82.334,82.334
16,2,1,80.442,80.516,80.442,80.45
17,2,1,80.442,80.516,80.442,80.45
18,2,1,79.18,79.35,79.18,79.186
19,2,1,79.495,79.59,79.495,79.504
20,2,1,78.549,78.779,78.549,78.551
21,2,1,78.549,78.718,78.549,78.555
22,2,1,78.233,78.432,78.233,78.238
23,2,1,78.549,78.718,78.549,78.555
24,2,1,76.656,77.026,76.656,76.645
25,2,1,76.972,77.304,76.972,76.965
26,2,1,75.394,75.93,75.394,75.36
27,2,1,75.079,75.659,75.079,75.037
28,2,1,75.71,76.202,75.71,75.682
29,2,1,75.71,76.202,75.71,75.682
30,2,1,74.763,75.39,74.763,74.714
31,2,1,74.448,75.122,74.448,74.389
32,2,1,74.132,74.855,74.132,74.064
33,2,1,74.132,74.855,74.132,74.064
34,2,1,74.132,74.855,74.132,74.064
35,2,1,74.448,75.122,74.448,74.389
36,2,1,75.71,76.202,75.71,75.682
37,2,1,75.71,76.202,75.71,75.682
38,2,1,75.71,76.202,75.71,75.682
39,2,1,75.71,76.202,75.71,75.682
40,2,1,75.394,75.839,75.394,75.372
41,2,1,75.71,76.202,75.71,75.682
42,2,1,74.132,74.855,74.132,74.064
43,2,1,74.132,74.855,74.132,74.064
44,2,1,73.817,74.589,73.817,73.739
45,2,1,73.817,74.589,73.817,73.739
46,2,1,73.817,74.589,73.817,73.739
47,2,1,74.448,75.122,74.448,74.389
48,2,1,74.448,75.122,74.448,74.389
49,2,1,74.132,74.855,74.132,74.064
50,2,1,73.502,74.214,73.502,73.432
0,2,2,88.644,88.787,88.644,88.627
1,2,2,88.959,89.075,88.959,88.945
2,2,2,87.382,87.659,87.382,87.348
3,2,2,87.382,87.659,87.382,87.348
4,2,2,86.435,86.745,86.435,86.395
5,2,2,86.12,86.385,86.12,86.083
6,2,2,85.804,86.029,85.804,85.771
7,2,2,86.12,86.385,86.12,86.083
8,2,2,85.174,85.559,85.174,85.118
9,2,2,85.489,85.832,85.489,85.44
10,2,2,83.912,84.195,83.912,83.863
11,2,2,83.912,84.121,83.912,83.874
12,2,2,82.65,82.789,82.65,82.619
13,2,2,82.65,82.789,82.65,82.619
14,2,2,81.703,81.77,81.703,81.685
15,2,2,81.703,81.77,81.703,81.685
16,2,2,80.442,80.453,80.442,80.435
17,2,2,80.442,80.453,80.442,80.435
18,2,2,79.811,79.811,79.811,79.808
19,2,2,79.495,79.494,79.495,79.494
20,2,2,78.864,78.868,78.864,78.865
21,2,2,78.549,78.558,78.549,78.55
22,2,2,78.233,78.237,78.233,78.234
23,2,2,78.233,78.237,78.233,78.234
24,2,2,77.603,77.606,77.603,77.603
25,2,2,77.287,77.313,77.287,77.288
26,2,2,77.287,77.313,77.287,77.288
27,2,2,77.287,77.313,77.287,77.288
28,2,2,76.972,76.988,76.972,76.973
29,2,2,76.972,76.988,76.972,76.973
30,2,2,75.71,75.777,75.71,75.706
31,2,2,75.079,75.182,75.079,75.07
32,2,2,74.448,74.55,74.448,74.439
33,2,2,74.132,74.255,74.132,74.12
34,2,2,73.502,73.669,73.502,73.479
35,2,2,73.502,73.669,73.502,73.479
36,2,2,72.555,72.8,72.555,72.514
37,2,2,72.555,72.8,72.555,72.514
38,2,2,71.609,71.942,71.609,71.543
39,2,2,72.555,72.864,72.555,72.499
40,2,2,72.24,72.654,72.24,72.157
41,2,2,72.24,72.654,72.24,72.157
42,2,2,72.24,72.654,72.24,72.157
43,2,2,71.924,72.374,71.924,71.83
44,2,2,71.609,72.095,71.609,71.503
45,2,2,71.924,72.374,71.924,71.83
46,2,2,71.924,72.374,71.924,71.83
47,2,2,72.24,72.654,72.24,72.157
48,2,2,72.24,72.654,72.24,72.157
49,2,2,72.24,72.654,72.24,72.157
50,2,2,72.24,72.654,72.24,72.157
0,5,0,89.59,89.84,89.59,89.563
1,5,0,88.644,88.783,88.644,88.624
2,5,0,87.382,87.652,87.382,87.345
3,5,0,87.066,87.295,87.066,87.033
4,5,0,84.858,84.895,84.858,84.846
5,5,0,86.12,86.305,86.12,86.088
6,5,0,83.281,83.28,83.281,83.279
7,5,0,83.281,83.28,83.281,83.279
8,5,0,81.388,81.407,81.388,81.39
9,5,0,81.073,81.103,81.073,81.075
10,5,0,80.757,80.801,80.757,80.759
11,5,0,80.757,80.801,80.757,80.759
12,5,0,78.864,79.036,78.864,78.855
13,5,0,78.864,79.036,78.864,78.855
14,5,0,78.864,79.036,78.864,78.855
15,5,0,78.864,79.036,78.864,78.855
16,5,0,78.233,78.403,78.233,78.224
17,5,0,78.233,78.403,78.233,78.224
18,5,0,77.918,78.014,77.918,77.916
19,5,0,77.918,78.014,77.918,77.916
20,5,0,78.233,78.352,78.233,78.23
0,5,1,89.905,89.92,89.905,89.899
1,5,1,89.905,89.92,89.905,89.899
2,5,1,87.066,87.115,87.066,87.048
3,5,1,87.697,87.719,87.697,87.686
4,5,1,84.227,84.224,84.227,84.222
5,5,1,84.227,84.233,84.227,84.216
6,5,1,80.757,80.783,80.757,80.763
7,5,1,80.757,80.783,80.757,80.763
8,5,1,78.549,78.718,78.549,78.555
9,5,1,78.549,78.718,78.549,78.555
10,5,1,76.025,76.475,76.025,76.004
11,5,1,75.394,75.93,75.394,75.36
12,5,1,73.186,74.061,73.186,73.085
13,5,1,73.817,74.589,73.817,73.739
14,5,1,73.817,74.589,73.817,73.739
15,5,1,73.817,74.589,73.817,73.739
16,5,1,73.186,73.947,73.186,73.106
17,5,1,73.502,74.325,73.502,73.412
18,5,1,73.186,73.947,73.186,73.106
19,5,1,73.186,73.947,73.186,73.106
20,5,1,73.186,73.947,73.186,73.106
0,5,2,88.644,88.787,88.644,88.627
1,5,2,88.328,88.501,88.328,88.308
2,5,2,86.12,86.251,86.12,86.099
3,5,2,85.489,85.617,85.489,85.467
4,5,2,82.334,82.37,82.334,82.323
5,5,2,82.965,83.036,82.965,82.948
6,5,2,82.65,82.789,82.65,82.619
7,5,2,82.65,82.789,82.65,82.619
8,5,2,80.442,80.504,80.442,80.421
9,5,2,80.442,80.504,80.442,80.421
10,5,2,78.864,78.868,78.864,78.859
11,5,2,78.549,78.549,78.549,78.546
12,5,2,76.972,76.988,76.972,76.973
13,5,2,76.972,76.988,76.972,76.973
14,5,2,74.763,74.936,74.763,74.742
15,5,2,74.763,74.936,74.763,74.742
16,5,2,73.817,74.071,73.817,73.778
17,5,2,73.502,73.785,73.502,73.455
18,5,2,73.186,73.501,73.186,73.132
19,5,2,72.555,72.935,72.555,72.482
20,5,2,73.186,73.501,73.186,73.132
0,10,0,89.59,89.84,89.59,89.563
1,10,0,89.274,89.563,89.274,89.243
2,10,0,84.858,84.895,84.858,84.846
3,10,0,85.489,85.564,85.489,85.472
4,10,0,82.965,82.966,82.965,82.962
5,10,0,83.596,83.608,83.596,83.589
6,10,0,82.965,82.977,82.965,82.958
7,10,0,82.65,82.654,82.65,82.645
