iter,step,fold,acc,prec,rec,f1score
0,2,0,89.59,89.84,89.59,89.563
1,2,0,89.59,89.84,89.59,89.563
2,2,0,89.59,89.84,89.59,89.563
3,2,0,89.274,89.484,89.274,89.25
4,2,0,89.274,89.484,89.274,89.25
5,2,0,89.274,89.484,89.274,89.25
6,2,0,89.274,89.484,89.274,89.25
7,2,0,89.274,89.484,89.274,89.25
8,2,0,89.274,89.484,89.274,89.25
9,2,0,89.274,89.484,89.274,89.25
10,2,0,89.274,89.484,89.274,89.25
11,2,0,89.274,89.484,89.274,89.25
12,2,0,89.274,89.484,89.274,89.25
13,2,0,88.644,88.848,88.644,88.618
14,2,0,88.644,88.848,88.644,88.618
15,2,0,88.328,88.496,88.328,88.305
16,2,0,88.328,88.496,88.328,88.305
17,2,0,88.644,88.848,88.644,88.618
18,2,0,88.644,88.848,88.644,88.618
19,2,0,88.644,88.848,88.644,88.618
20,2,0,88.328,88.567,88.328,88.298
21,2,0,88.013,88.289,88.013,87.977
22,2,0,88.013,88.289,88.013,87.977
23,2,0,88.013,88.289,88.013,87.977
24,2,0,88.013,88.289,88.013,87.977
25,2,0,87.697,87.931,87.697,87.665
26,2,0,87.697,87.931,87.697,87.665
27,2,0,87.697,87.931,87.697,87.665
28,2,0,87.697,87.931,87.697,87.665
29,2,0,88.013,88.289,88.013,87.977
30,2,0,88.013,88.289,88.013,87.977
31,2,0,88.328,88.651,88.328,88.29
32,2,0,88.328,88.651,88.328,88.29
33,2,0,88.328,88.651,88.328,88.29
34,2,0,88.328,88.651,88.328,88.29
35,2,0,88.328,88.651,88.328,88.29
36,2,0,88.328,88.651,88.328,88.29
37,2,0,88.013,88.289,88.013,87.977
38,2,0,88.013,88.289,88.013,87.977
39,2,0,88.328,88.651,88.328,88.29
40,2,0,88.328,88.651,88.328,88.29
41,2,0,88.328,88.651,88.328,88.29
42,2,0,88.328,88.651,88.328,88.29
43,2,0,88.013,88.289,88.013,87.977
44,2,0,88.013,88.289,88.013,87.977
45,2,0,88.328,88.651,88.328,88.29
46,2,0,88.328,88.651,88.328,88.29
47,2,0,88.328,88.651,88.328,88.29
48,2,0,88.328,88.651,88.328,88.29
49,2,0,88.328,88.651,88.328,88.29
50,2,0,88.328,88.651,88.328,88.29
0,2,1,89.905,89.92,89.905,89.899
1,2,1,89.274,89.288,89.274,89.267
2,2,1,89.274,89.288,89.274,89.267
3,2,1,89.59,89.596,89.59,89.585
4,2,1,89.59,89.596,89.59,89.585
5,2,1,89.905,89.92,89.905,89.899
6,2,1,89.905,89.92,89.905,89.899
7,2,1,89.59,89.596,89.59,89.585
8,2,1,89.59,89.596,89.59,89.585
9,2,1,89.905,89.92,89.905,89.899
10,2,1,89.905,89.92,89.905,89.899
11,2,1,89.59,89.596,89.59,89.585
12,2,1,89.59,89.596,89.59,89.585
13,2,1,89.274,89.288,89.274,89.267
14,2,1,89.274,89.288,89.274,89.267
15,2,1,89.274,89.288,89.274,89.267
16,2,1,89.274,89.288,89.274,89.267
17,2,1,88.959,88.984,88.959,88.949
18,2,1,88.959,88.984,88.959,88.949
19,2,1,89.59,89.616,89.59,89.581
20,2,1,89.59,89.616,89.59,89.581
21,2,1,89.274,89.314,89.274,89.262
22,2,1,89.274,89.314,89.274,89.262
23,2,1,89.274,89.314,89.274,89.262
24,2,1,89.274,89.314,89.274,89.262
25,2,1,89.59,89.649,89.59,89.575
26,2,1,89.59,89.649,89.59,89.575
27,2,1,90.221,90.248,90.221,90.212
28,2,1,90.221,90.248,90.221,90.212
29,2,1,90.536,90.58,90.536,90.526
