iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.268,95.282,95.268,95.267
2,2,0,95.268,95.282,95.268,95.267
3,2,0,95.584,95.61,95.584,95.582
4,2,0,95.268,95.282,95.268,95.267
5,2,0,95.268,95.282,95.268,95.267
6,2,0,95.268,95.282,95.268,95.267
7,2,0,95.268,95.31,95.268,95.265
8,2,0,95.584,95.59,95.584,95.583
9,2,0,94.953,94.979,94.953,94.95
10,2,0,95.268,95.282,95.268,95.267
11,2,0,95.268,95.282,95.268,95.267
12,2,0,95.268,95.282,95.268,95.267
13,2,0,95.268,95.282,95.268,95.267
14,2,0,95.268,95.282,95.268,95.267
15,2,0,95.584,95.59,95.584,95.583
16,2,0,95.584,95.59,95.584,95.583
17,2,0,94.953,94.979,94.953,94.95
18,2,0,95.268,95.282,95.268,95.267
19,2,0,95.268,95.31,95.268,95.265
20,2,0,94.953,94.979,94.953,94.95
21,2,0,95.268,95.282,95.268,95.267
22,2,0,95.268,95.282,95.268,95.267
23,2,0,94.953,94.979,94.953,94.95
24,2,0,94.953,94.979,94.953,94.95
25,2,0,95.268,95.31,95.268,95.265
26,2,0,94.953,94.979,94.953,94.95
27,2,0,94.953,94.979,94.953,94.95
28,2,0,95.268,95.282,95.268,95.267
29,2,0,95.584,95.61,95.584,95.582
30,2,0,95.268,95.31,95.268,95.265
31,2,0,95.268,95.31,95.268,95.265
32,2,0,95.268,95.31,95.268,95.265
33,2,0,95.584,95.61,95.584,95.582
34,2,0,95.268,95.282,95.268,95.267
35,2,0,95.268,95.282,95.268,95.267
36,2,0,95.268,95.282,95.268,95.267
37,2,0,95.584,95.61,95.584,95.582
38,2,0,95.584,95.59,95.584,95.583
39,2,0,95.584,95.59,95.584,95.583
40,2,0,95.899,95.914,95.899,95.898
41,2,0,95.584,95.61,95.584,95.582
42,2,0,95.268,95.282,95.268,95.267
43,2,0,95.268,95.282,95.268,95.267
44,2,0,94.953,94.979,94.953,94.95
45,2,0,94.953,94.979,94.953,94.95
46,2,0,95.268,95.31,95.268,95.265
47,2,0,94.953,94.979,94.953,94.95
48,2,0,94.953,94.979,94.953,94.95
49,2,0,94.953,94.979,94.953,94.95
50,2,0,95.268,95.282,95.268,95.267
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.161,97.163,97.161,97.161
2,2,1,97.161,97.163,97.161,97.161
3,2,1,96.845,96.845,96.845,96.845
4,2,1,97.161,97.163,97.161,97.161
5,2,1,96.845,96.845,96.845,96.845
6,2,1,96.845,96.845,96.845,96.845
7,2,1,96.845,96.845,96.845,96.845
8,2,1,96.845,96.845,96.845,96.845
9,2,1,96.845,96.845,96.845,96.845
10,2,1,96.845,96.845,96.845,96.845
11,2,1,96.53,96.533,96.53,96.53
12,2,1,96.845,96.855,96.845,96.846
13,2,1,97.161,97.163,97.161,97.161
14,2,1,96.53,96.533,96.53,96.53
15,2,1,96.53,96.549,96.53,96.531
16,2,1,96.53,96.549,96.53,96.531
17,2,1,96.53,96.549,96.53,96.531
18,2,1,96.53,96.549,96.53,96.531
19,2,1,95.899,95.902,95.899,95.9
20,2,1,96.53,96.533,96.53,96.53
21,2,1,96.53,96.533,96.53,96.53
22,2,1,96.53,96.533,96.53,96.53
23,2,1,96.53,96.533,96.53,96.53
24,2,1,96.215,96.224,96.215,96.215
25,2,1,96.215,96.215,96.215,96.215
26,2,1,96.53,96.533,96.53,96.53
27,2,1,96.845,96.855,96.845,96.846
28,2,1,97.161,97.18,97.161,97.162
29,2,1,96.845,96.855,96.845,96.846
30,2,1,96.845,96.855,96.845,96.846
31,2,1,97.161,97.18,97.161,97.162
32,2,1,96.845,96.855,96.845,96.846
33,2,1,97.161,97.18,97.161,97.162
34,2,1,97.476,97.509,97.476,97.477
35,2,1,97.161,97.18,97.161,97.162
36,2,1,97.161,97.18,97.161,97.162
37,2,1,97.161,97.18,97.161,97.162
38,2,1,97.161,97.18,97.161,97.162
39,2,1,96.53,96.533,96.53,96.53
40,2,1,96.845,96.855,96.845,96.846
41,2,1,96.845,96.855,96.845,96.846
42,2,1,96.53,96.533,96.53,96.53
43,2,1,96.845,96.855,96.845,96.846
44,2,1,96.845,96.855,96.845,96.846
45,2,1,96.845,96.855,96.845,96.846
46,2,1,96.53,96.549,96.53,96.531
47,2,1,97.161,97.18,97.161,97.162
48,2,1,97.161,97.18,97.161,97.162
49,2,1,96.845,96.879,96.845,96.847
50,2,1,97.161,97.18,97.161,97.162
0,2,2,97.476,97.484,97.476,97.476
1,2,2,97.161,97.163,97.161,97.161
2,2,2,97.476,97.508,97.476,97.476
3,2,2,97.792,97.81,97.792,97.792
4,2,2,97.161,97.179,97.161,97.161
5,2,2,97.161,97.179,97.161,97.161
6,2,2,97.792,97.81,97.792,97.792
7,2,2,97.792,97.81,97.792,97.792
8,2,2,97.792,97.81,97.792,97.792
9,2,2,97.792,97.81,97.792,97.792
10,2,2,97.792,97.794,97.792,97.792
11,2,2,97.476,97.484,97.476,97.476
12,2,2,97.476,97.484,97.476,97.476
13,2,2,98.107,98.115,98.107,98.107
14,2,2,97.476,97.484,97.476,97.476
15,2,2,97.792,97.81,97.792,97.792
16,2,2,97.476,97.484,97.476,97.476
17,2,2,97.792,97.81,97.792,97.792
18,2,2,97.792,97.794,97.792,97.792
19,2,2,97.792,97.81,97.792,97.792
20,2,2,97.792,97.81,97.792,97.792
21,2,2,97.476,97.484,97.476,97.476
22,2,2,97.476,97.484,97.476,97.476
23,2,2,97.792,97.794,97.792,97.792
24,2,2,97.476,97.484,97.476,97.476
25,2,2,97.476,97.484,97.476,97.476
26,2,2,97.792,97.81,97.792,97.792
27,2,2,97.792,97.81,97.792,97.792
28,2,2,97.476,97.484,97.476,97.476
29,2,2,97.792,97.81,97.792,97.792
30,2,2,97.476,97.484,97.476,97.476
31,2,2,97.476,97.484,97.476,97.476
32,2,2,97.476,97.484,97.476,97.476
33,2,2,97.476,97.484,97.476,97.476
34,2,2,97.476,97.484,97.476,97.476
35,2,2,97.792,97.81,97.792,97.792
36,2,2,97.476,97.484,97.476,97.476
37,2,2,97.476,97.484,97.476,97.476
38,2,2,97.792,97.81,97.792,97.792
39,2,2,97.476,97.484,97.476,97.476
40,2,2,97.792,97.81,97.792,97.792
41,2,2,97.792,97.81,97.792,97.792
42,2,2,97.476,97.484,97.476,97.476
43,2,2,97.792,97.81,97.792,97.792
44,2,2,97.792,97.81,97.792,97.792
45,2,2,97.792,97.81,97.792,97.792
46,2,2,97.792,97.81,97.792,97.792
47,2,2,97.792,97.81,97.792,97.792
48,2,2,97.792,97.81,97.792,97.792
49,2,2,97.792,97.81,97.792,97.792
50,2,2,97.792,97.81,97.792,97.792
0,5,0,94.953,94.979,94.953,94.95
1,5,0,94.637,94.678,94.637,94.634
2,5,0,94.953,94.979,94.953,94.95
3,5,0,94.953,94.979,94.953,94.95
4,5,0,94.953,94.979,94.953,94.95
5,5,0,94.953,94.979,94.953,94.95
6,5,0,94.953,94.979,94.953,94.95
7,5,0,95.268,95.282,95.268,95.267
8,5,0,94.953,94.979,94.953,94.95
9,5,0,94.953,94.979,94.953,94.95
10,5,0,95.268,95.282,95.268,95.267
11,5,0,95.268,95.282,95.268,95.267
12,5,0,95.268,95.282,95.268,95.267
13,5,0,95.268,95.282,95.268,95.267
14,5,0,95.584,95.61,95.584,95.582
15,5,0,95.584,95.59,95.584,95.583
16,5,0,94.953,94.979,94.953,94.95
17,5,0,95.268,95.282,95.268,95.267
18,5,0,94.953,94.979,94.953,94.95
19,5,0,94.953,94.979,94.953,94.95
20,5,0,94.953,94.979,94.953,94.95
0,5,1,97.161,97.163,97.161,97.161
1,5,1,97.792,97.811,97.792,97.792
2,5,1,96.845,96.845,96.845,96.845
3,5,1,97.161,97.163,97.161,97.161
4,5,1,96.53,96.533,96.53,96.53
5,5,1,96.845,96.845,96.845,96.845
6,5,1,96.53,96.533,96.53,96.53
7,5,1,96.53,96.533,96.53,96.53
8,5,1,96.53,96.533,96.53,96.53
9,5,1,96.53,96.533,96.53,96.53
10,5,1,96.53,96.533,96.53,96.53
11,5,1,96.53,96.549,96.53,96.531
12,5,1,96.53,96.533,96.53,96.53
13,5,1,96.53,96.533,96.53,96.53
14,5,1,96.53,96.533,96.53,96.53
15,5,1,96.845,96.855,96.845,96.846
16,5,1,96.53,96.533,96.53,96.53
17,5,1,97.161,97.18,97.161,97.162
18,5,1,96.845,96.855,96.845,96.846
19,5,1,96.53,96.533,96.53,96.53
20,5,1,96.845,96.855,96.845,96.846
0,5,2,97.476,97.484,97.476,97.476
1,5,2,97.161,97.179,97.161,97.161
2,5,2,97.792,97.81,97.792,97.792
3,5,2,97.792,97.81,97.792,97.792
4,5,2,97.792,97.794,97.792,97.792
5,5,2,97.476,97.484,97.476,97.476
6,5,2,97.792,97.81,97.792,97.792
7,5,2,97.792,97.81,97.792,97.792
8,5,2,97.476,97.484,97.476,97.476
9,5,2,97.476,97.484,97.476,97.476
10,5,2,97.792,97.81,97.792,97.792
11,5,2,97.792,97.81,97.792,97.792
12,5,2,97.792,97.794,97.792,97.792
13,5,2,97.792,97.81,97.792,97.792
14,5,2,97.792,97.81,97.792,97.792
15,5,2,97.792,97.81,97.792,97.792
16,5,2,97.792,97.81,97.792,97.792
17,5,2,97.476,97.484,97.476,97.476
18,5,2,97.476,97.508,97.476,97.476
19,5,2,97.476,97.484,97.476,97.476
20,5,2,97.792,97.81,97.792,97.792
0,10,0,94.953,94.979,94.953,94.95
1,10,0,94.953,94.979,94.953,94.95
2,10,0,95.268,95.282,95.268,95.267
3,10,0,95.268,95.282,95.268,95.267
4,10,0,95.268,95.282,95.268,95.267
5,10,0,95.584,95.61,95.584,95.582
6,10,0,95.268,95.31,95.268,95.265
7,10,0,94.953,94.979,94.953,94.95
8,10,0,94.953,94.979,94.953,94.95
9,10,0,95.268,95.282,95.268,95.267
10,10,0,95.268,95.282,95.268,95.267
0,10,1,97.161,97.163,97.161,97.161
1,10,1,97.476,97.509,97.476,97.477
2,10,1,96.845,96.855,96.845,96.846
3,10,1,96.215,96.224,96.215,96.215
4,10,1,96.215,96.224,96.215,96.215
5,10,1,96.53,96.533,96.53,96.53
6,10,1,96.53,96.533,96.53,96.53
7,10,1,96.845,96.855,96.845,96.846
8,10,1,96.53,96.533,96.53,96.53
9,10,1,96.53,96.533,96.53,96.53
10,10,1,96.53,96.533,96.53,96.53
0,10,2,97.476,97.484,97.476,97.476
1,10,2,97.476,97.508,97.476,97.476
2,10,2,97.161,97.179,97.161,97.161
3,10,2,97.161,97.179,97.161,97.161
4,10,2,97.476,97.484,97.476,97.476
5,10,2,97.476,97.484,97.476,97.476
6,10,2,96.845,96.845,96.845,96.845
7,10,2,98.107,98.115,98.107,98.107
8,10,2,97.476,97.484,97.476,97.476
9,10,2,97.476,97.484,97.476,97.476
10,10,2,97.792,97.81,97.792,97.792
0,25,0,94.953,94.979,94.953,94.95
1,25,0,95.268,95.282,95.268,95.267
2,25,0,95.584,95.59,95.584,95.583
3,25,0,94.953,94.979,94.953,94.95
4,25,0,95.268,95.282,95.268,95.267
0,25,1,97.161,97.163,97.161,97.161
1,25,1,96.53,96.533,96.53,96.53
2,25,1,96.215,96.224,96.215,96.215
3,25,1,96.53,96.533,96.53,96.53
4,25,1,96.53,96.533,96.53,96.53
0,25,2,97.476,97.484,97.476,97.476
1,25,2,97.792,97.81,97.792,97.792
2,25,2,97.792,97.81,97.792,97.792
3,25,2,97.792,97.81,97.792,97.792
4,25,2,97.792,97.81,97.792,97.792
