iter,step,fold,acc,prec,rec,f1score
0,2,0,94.953,94.979,94.953,94.95
1,2,0,95.584,95.59,95.584,95.583
2,2,0,95.584,95.59,95.584,95.583
3,2,0,95.268,95.282,95.268,95.267
4,2,0,95.268,95.282,95.268,95.267
5,2,0,95.268,95.282,95.268,95.267
6,2,0,94.953,94.979,94.953,94.95
7,2,0,95.268,95.31,95.268,95.265
8,2,0,95.268,95.31,95.268,95.265
9,2,0,95.268,95.31,95.268,95.265
10,2,0,95.268,95.31,95.268,95.265
11,2,0,95.268,95.31,95.268,95.265
12,2,0,95.584,95.59,95.584,95.583
13,2,0,95.268,95.282,95.268,95.267
14,2,0,95.268,95.282,95.268,95.267
15,2,0,95.268,95.31,95.268,95.265
16,2,0,95.584,95.59,95.584,95.583
17,2,0,95.584,95.59,95.584,95.583
18,2,0,95.584,95.59,95.584,95.583
19,2,0,95.584,95.59,95.584,95.583
20,2,0,95.584,95.59,95.584,95.583
21,2,0,95.584,95.59,95.584,95.583
22,2,0,95.584,95.59,95.584,95.583
23,2,0,95.899,95.9,95.899,95.899
24,2,0,95.899,95.9,95.899,95.899
25,2,0,95.584,95.59,95.584,95.583
26,2,0,95.584,95.59,95.584,95.583
27,2,0,95.899,95.9,95.899,95.899
28,2,0,95.899,95.9,95.899,95.899
29,2,0,95.268,95.31,95.268,95.265
30,2,0,95.268,95.282,95.268,95.267
31,2,0,95.584,95.61,95.584,95.582
32,2,0,94.953,95.013,94.953,94.949
33,2,0,95.268,95.31,95.268,95.265
34,2,0,95.268,95.31,95.268,95.265
35,2,0,95.268,95.31,95.268,95.265
36,2,0,95.268,95.31,95.268,95.265
37,2,0,94.953,95.013,94.953,94.949
38,2,0,94.953,95.013,94.953,94.949
39,2,0,94.953,95.013,94.953,94.949
40,2,0,94.953,95.013,94.953,94.949
41,2,0,95.268,95.31,95.268,95.265
42,2,0,95.268,95.31,95.268,95.265
43,2,0,95.268,95.31,95.268,95.265
44,2,0,95.268,95.31,95.268,95.265
45,2,0,95.268,95.31,95.268,95.265
46,2,0,95.268,95.31,95.268,95.265
47,2,0,94.953,94.979,94.953,94.95
48,2,0,94.953,94.979,94.953,94.95
49,2,0,95.584,95.61,95.584,95.582
50,2,0,95.584,95.61,95.584,95.582
0,2,1,97.161,97.163,97.161,97.161
1,2,1,97.161,97.162,97.161,97.16
2,2,1,97.161,97.162,97.161,97.16
3,2,1,96.53,96.531,96.53,96.529
4,2,1,97.161,97.163,97.161,97.161
5,2,1,97.161,97.163,97.161,97.161
6,2,1,97.161,97.163,97.161,97.161
7,2,1,96.845,96.845,96.845,96.845
8,2,1,96.845,96.845,96.845,96.845
9,2,1,96.845,96.855,96.845,96.846
10,2,1,96.845,96.845,96.845,96.845
11,2,1,96.845,96.845,96.845,96.845
12,2,1,96.845,96.845,96.845,96.845
13,2,1,96.845,96.845,96.845,96.845
14,2,1,96.845,96.845,96.845,96.845
15,2,1,96.53,96.533,96.53,96.53
16,2,1,96.845,96.845,96.845,96.845
17,2,1,97.161,97.163,97.161,97.161
18,2,1,96.845,96.845,96.845,96.845
19,2,1,96.845,96.845,96.845,96.845
20,2,1,96.845,96.845,96.845,96.845
21,2,1,97.161,97.163,97.161,97.161
22,2,1,96.845,96.855,96.845,96.846
23,2,1,96.53,96.549,96.53,96.531
24,2,1,96.53,96.549,96.53,96.531
25,2,1,96.215,96.224,96.215,96.215
26,2,1,96.215,96.224,96.215,96.215
27,2,1,96.53,96.533,96.53,96.53
28,2,1,96.53,96.533,96.53,96.53
29,2,1,96.845,96.855,96.845,96.846
30,2,1,96.845,96.855,96.845,96.846
31,2,1,96.215,96.224,96.215,96.215
32,2,1,96.215,96.224,96.215,96.215
33,2,1,96.215,96.215,96.215,96.215
34,2,1,96.215,96.215,96.215,96.215
35,2,1,96.215,96.224,96.215,96.215
36,2,1,96.215,96.224,96.215,96.215
37,2,1,96.215,96.224,96.215,96.215
38,2,1,96.215,96.224,96.215,96.215
39,2,1,96.53,96.533,96.53,96.53
40,2,1,96.53,96.533,96.53,96.53
41,2,1,96.215,96.224,96.215,96.215
42,2,1,96.53,96.533,96.53,96.53
43,2,1,96.215,96.224,96.215,96.215
44,2,1,96.215,96.224,96.215,96.215
45,2,1,96.53,96.533,96.53,96.53
46,2,1,96.53,96.533,96.53,96.53
47,2,1,96.53,96.549,96.53,96.531
48,2,1,96.845,96.845,96.845,96.845
49,2,1,96.53,96.533,96.53,96.53
50,2,1,96.53,96.533,96.53,96.53
0,2,2,97.476,97.484,97.476,97.476
1,2,2,97.476,97.484,97.476,97.476
2,2,2,97.476,97.484,97.476,97.476
3,2,2,97.476,97.484,97.476,97.476
4,2,2,97.476,97.484,97.476,97.476
5,2,2,97.476,97.476,97.476,97.476
6,2,2,97.476,97.476,97.476,97.476
7,2,2,97.792,97.794,97.792,97.792
8,2,2,97.792,97.794,97.792,97.792
9,2,2,97.792,97.794,97.792,97.792
10,2,2,97.792,97.794,97.792,97.792
11,2,2,97.476,97.476,97.476,97.476
12,2,2,97.161,97.163,97.161,97.161
13,2,2,97.476,97.476,97.476,97.476
14,2,2,97.476,97.476,97.476,97.476
15,2,2,97.476,97.476,97.476,97.476
16,2,2,97.476,97.476,97.476,97.476
17,2,2,97.792,97.794,97.792,97.792
18,2,2,97.792,97.794,97.792,97.792
19,2,2,97.792,97.794,97.792,97.792
20,2,2,97.476,97.484,97.476,97.476
21,2,2,97.792,97.794,97.792,97.792
22,2,2,97.792,97.794,97.792,97.792
23,2,2,96.845,96.845,96.845,96.845
24,2,2,97.792,97.794,97.792,97.792
25,2,2,97.161,97.163,97.161,97.161
26,2,2,97.161,97.163,97.161,97.161
27,2,2,97.476,97.484,97.476,97.476
28,2,2,97.476,97.484,97.476,97.476
29,2,2,98.107,98.115,98.107,98.107
30,2,2,98.107,98.115,98.107,98.107
31,2,2,97.792,97.794,97.792,97.792
32,2,2,97.792,97.794,97.792,97.792
33,2,2,97.476,97.484,97.476,97.476
34,2,2,97.476,97.484,97.476,97.476
35,2,2,97.792,97.794,97.792,97.792
36,2,2,97.792,97.794,97.792,97.792
37,2,2,97.792,97.794,97.792,97.792
38,2,2,97.792,97.794,97.792,97.792
39,2,2,98.107,98.115,98.107,98.107
40,2,2,97.792,97.81,97.792,97.792
41,2,2,97.792,97.794,97.792,97.792
42,2,2,97.792,97.794,97.792,97.792
43,2,2,97.476,97.476,97.476,97.476
44,2,2,97.792,97.794,97.792,97.792
45,2,2,97.476,97.484,97.476,97.476
46,2,2,97.792,97.794,97.792,97.792
47,2,2,98.107,98.115,98.107,98.107
48,2,2,98.107,98.115,98.107,98.107
49,2,2,97.792,97.81,97.792,97.792
50,2,2,97.792,97.81,97.792,97.792
0,5,0,94.953,94.979,94.953,94.95
1,5,0,95.268,95.282,95.268,95.267
2,5,0,95.268,95.282,95.268,95.267
3,5,0,95.268,95.282,95.268,95.267
4,5,0,95.584,95.59,95.584,95.583
5,5,0,95.899,95.9,95.899,95.899
6,5,0,95.899,95.9,95.899,95.899
7,5,0,95.899,95.9,95.899,95.899
8,5,0,95.899,95.9,95.899,95.899
9,5,0,95.899,95.9,95.899,95.899
10,5,0,95.899,95.9,95.899,95.899
11,5,0,95.899,95.9,95.899,95.899
12,5,0,95.899,95.9,95.899,95.899
13,5,0,95.899,95.9,95.899,95.899
14,5,0,95.899,95.9,95.899,95.899
15,5,0,95.899,95.9,95.899,95.899
16,5,0,95.899,95.9,95.899,95.899
