iter,step,fold,acc,prec,rec,f1score
0,2,0,84.543,86.252,84.543,84.312
1,2,0,84.543,86.252,84.543,84.312
2,2,0,84.858,86.481,84.858,84.644
3,2,0,84.858,86.481,84.858,84.644
4,2,0,84.858,86.481,84.858,84.644
5,2,0,85.174,86.712,85.174,84.976
6,2,0,85.804,87.178,85.804,85.636
7,2,0,85.804,87.178,85.804,85.636
8,2,0,85.804,87.178,85.804,85.636
9,2,0,85.804,87.178,85.804,85.636
10,2,0,85.804,87.178,85.804,85.636
11,2,0,86.12,87.414,86.12,85.964
12,2,0,86.12,87.414,86.12,85.964
13,2,0,86.12,87.414,86.12,85.964
14,2,0,86.435,87.651,86.435,86.293
15,2,0,87.382,88.376,87.382,87.273
16,2,0,87.066,88.133,87.066,86.947
17,2,0,87.382,88.376,87.382,87.273
18,2,0,87.382,88.376,87.382,87.273
19,2,0,87.697,88.622,87.697,87.598
20,2,0,88.013,88.87,88.013,87.923
21,2,0,88.013,89.027,88.013,87.909
22,2,0,88.328,89.271,88.328,88.234
23,2,0,88.328,89.271,88.328,88.234
24,2,0,88.644,89.518,88.644,88.559
25,2,0,88.644,89.518,88.644,88.559
26,2,0,88.959,90.274,88.959,88.843
27,2,0,88.959,90.274,88.959,88.843
28,2,0,88.959,90.274,88.959,88.843
29,2,0,89.274,90.507,89.274,89.169
30,2,0,90.852,91.707,90.852,90.788
31,2,0,91.167,91.954,91.167,91.111
32,2,0,91.483,92.203,91.483,91.432
33,2,0,91.798,92.455,91.798,91.754
34,2,0,92.114,92.71,92.114,92.075
35,2,0,92.114,92.71,92.114,92.075
36,2,0,92.744,93.227,92.744,92.715
37,2,0,92.744,93.227,92.744,92.715
38,2,0,93.375,93.867,93.375,93.348
39,2,0,93.691,94.129,93.691,93.668
40,2,0,94.322,94.661,94.322,94.305
41,2,0,94.953,95.204,94.953,94.941
42,2,0,95.268,95.481,95.268,95.259
43,2,0,95.268,95.481,95.268,95.259
44,2,0,95.899,96.043,95.899,95.893
45,2,0,95.584,95.76,95.584,95.576
46,2,0,95.268,95.481,95.268,95.259
47,2,0,94.953,95.204,94.953,94.941
48,2,0,94.953,95.126,94.953,94.944
49,2,0,95.268,95.481,95.268,95.259
50,2,0,94.953,95.204,94.953,94.941
0,2,1,83.281,85.069,83.281,82.965
1,2,1,83.912,85.531,83.912,83.636
2,2,1,84.543,85.998,84.543,84.304
3,2,1,84.543,85.998,84.543,84.304
4,2,1,85.174,86.473,85.174,84.968
5,2,1,85.174,86.473,85.174,84.968
6,2,1,85.174,86.473,85.174,84.968
7,2,1,85.174,86.473,85.174,84.968
8,2,1,85.489,86.713,85.489,85.299
9,2,1,85.489,86.713,85.489,85.299
10,2,1,86.435,87.443,86.435,86.287
11,2,1,86.435,87.443,86.435,86.287
