iter,step,fold,acc,prec,rec,f1score
0,2,0,84.543,86.252,84.543,84.312
1,2,0,84.227,86.025,84.227,83.98
2,2,0,84.227,86.025,84.227,83.98
3,2,0,84.543,86.471,84.543,84.287
4,2,0,84.543,86.471,84.543,84.287
5,2,0,84.858,86.923,84.858,84.595
6,2,0,84.858,86.923,84.858,84.595
7,2,0,84.227,86.025,84.227,83.98
8,2,0,84.227,86.025,84.227,83.98
9,2,0,84.543,86.471,84.543,84.287
10,2,0,84.543,86.471,84.543,84.287
11,2,0,84.543,86.471,84.543,84.287
12,2,0,84.543,86.471,84.543,84.287
13,2,0,84.543,86.471,84.543,84.287
14,2,0,84.543,86.471,84.543,84.287
15,2,0,84.543,86.471,84.543,84.287
16,2,0,84.543,86.471,84.543,84.287
17,2,0,84.543,86.471,84.543,84.287
18,2,0,84.543,86.471,84.543,84.287
19,2,0,84.543,86.471,84.543,84.287
20,2,0,84.543,86.471,84.543,84.287
21,2,0,84.543,86.471,84.543,84.287
22,2,0,84.543,86.471,84.543,84.287
23,2,0,84.543,86.049,84.543,84.336
24,2,0,84.543,86.049,84.543,84.336
25,2,0,84.543,86.049,84.543,84.336
26,2,0,84.543,86.049,84.543,84.336
27,2,0,84.858,86.283,84.858,84.667
28,2,0,84.858,86.283,84.858,84.667
29,2,0,84.543,85.86,84.543,84.359
30,2,0,84.543,85.86,84.543,84.359
31,2,0,85.174,86.919,85.174,84.953
32,2,0,85.174,86.919,85.174,84.953
33,2,0,85.174,86.919,85.174,84.953
34,2,0,85.174,86.919,85.174,84.953
35,2,0,85.174,86.919,85.174,84.953
36,2,0,85.174,86.919,85.174,84.953
37,2,0,85.174,86.919,85.174,84.953
38,2,0,85.174,86.919,85.174,84.953
39,2,0,85.174,86.919,85.174,84.953
40,2,0,85.174,86.919,85.174,84.953
41,2,0,85.174,86.919,85.174,84.953
42,2,0,85.174,86.919,85.174,84.953
43,2,0,85.174,86.919,85.174,84.953
44,2,0,84.543,86.471,84.543,84.287
45,2,0,84.858,86.694,84.858,84.62
46,2,0,84.858,86.694,84.858,84.62
47,2,0,84.543,86.471,84.543,84.287
48,2,0,84.543,86.471,84.543,84.287
49,2,0,84.543,86.471,84.543,84.287
50,2,0,84.543,86.471,84.543,84.287
0,2,1,83.281,85.069,83.281,82.965
1,2,1,84.227,85.764,84.227,83.971
2,2,1,84.227,85.764,84.227,83.971
3,2,1,83.912,85.531,83.912,83.636
4,2,1,83.912,85.531,83.912,83.636
5,2,1,84.227,85.764,84.227,83.971
6,2,1,84.227,85.764,84.227,83.971
7,2,1,84.227,85.764,84.227,83.971
8,2,1,84.227,85.764,84.227,83.971
9,2,1,83.912,85.531,83.912,83.636
10,2,1,83.912,85.531,83.912,83.636
11,2,1,84.858,86.235,84.858,84.637
12,2,1,84.858,86.235,84.858,84.637
13,2,1,84.858,86.235,84.858,84.637
14,2,1,84.858,86.235,84.858,84.637
15,2,1,84.858,86.235,84.858,84.637
16,2,1,84.858,86.235,84.858,84.637
17,2,1,84.543,85.998,84.543,84.304
18,2,1,84.543,85.998,84.543,84.304
19,2,1,84.543,85.998,84.543,84.304
20,2,1,84.543,85.998,84.543,84.304
21,2,1,84.543,85.998,84.543,84.304
22,2,1,84.543,85.998,84.543,84.304
23,2,1,84.543,85.998,84.543,84.304
24,2,1,84.543,85.998,84.543,84.304
25,2,1,84.543,85.998,84.543,84.304
26,2,1,84.543,85.998,84.543,84.304
27,2,1,84.858,86.235,84.858,84.637
28,2,1,84.858,86.235,84.858,84.637
29,2,1,84.858,86.053,84.858,84.66
30,2,1,84.858,86.053,84.858,84.66
31,2,1,84.858,86.053,84.858,84.66
32,2,1,84.858,86.053,84.858,84.66
33,2,1,84.858,86.053,84.858,84.66
34,2,1,84.227,85.571,84.227,83.996
35,2,1,84.227,85.571,84.227,83.996
36,2,1,84.227,85.571,84.227,83.996
37,2,1,84.227,85.571,84.227,83.996
38,2,1,84.227,85.571,84.227,83.996
39,2,1,84.227,85.571,84.227,83.996
40,2,1,84.227,85.571,84.227,83.996
41,2,1,83.912,85.333,83.912,83.663
42,2,1,83.912,85.333,83.912,83.663
43,2,1,83.281,84.86,83.281,82.995
44,2,1,82.965,84.627,82.965,82.659
45,2,1,82.965,84.627,82.965,82.659
46,2,1,82.965,84.627,82.965,82.659
47,2,1,82.965,84.627,82.965,82.659
48,2,1,82.965,84.627,82.965,82.659
49,2,1,82.965,84.627,82.965,82.659
50,2,1,82.965,84.627,82.965,82.659
0,2,2,85.804,88.073,85.804,85.557
1,2,2,86.12,88.285,86.12,85.89
2,2,2,86.12,88.285,86.12,85.89
3,2,2,85.804,88.073,85.804,85.557
4,2,2,85.804,88.073,85.804,85.557
5,2,2,85.804,88.073,85.804,85.557
6,2,2,85.804,88.073,85.804,85.557
7,2,2,85.804,88.073,85.804,85.557
8,2,2,85.804,88.073,85.804,85.557
9,2,2,85.804,88.073,85.804,85.557
10,2,2,85.804,88.073,85.804,85.557
11,2,2,86.435,88.499,86.435,86.222
12,2,2,86.435,88.499,86.435,86.222
13,2,2,86.751,88.715,86.751,86.553
14,2,2,86.751,88.715,86.751,86.553
15,2,2,86.751,88.715,86.751,86.553
16,2,2,86.751,88.715,86.751,86.553
17,2,2,86.751,88.715,86.751,86.553
18,2,2,86.751,88.715,86.751,86.553
19,2,2,86.751,88.715,86.751,86.553
20,2,2,86.751,88.715,86.751,86.553
21,2,2,87.066,89.169,87.066,86.863
22,2,2,87.066,89.169,87.066,86.863
23,2,2,87.066,89.169,87.066,86.863
24,2,2,87.066,89.169,87.066,86.863
25,2,2,87.066,89.169,87.066,86.863
26,2,2,87.066,89.169,87.066,86.863
27,2,2,87.066,89.169,87.066,86.863
28,2,2,87.066,89.169,87.066,86.863
29,2,2,87.066,89.169,87.066,86.863
30,2,2,87.066,89.169,87.066,86.863
31,2,2,87.066,89.169,87.066,86.863
32,2,2,87.066,89.169,87.066,86.863
33,2,2,87.066,89.169,87.066,86.863
34,2,2,87.066,89.169,87.066,86.863
35,2,2,87.066,89.169,87.066,86.863
36,2,2,87.066,89.169,87.066,86.863
37,2,2,87.066,89.169,87.066,86.863
38,2,2,87.066,89.169,87.066,86.863
39,2,2,87.066,89.169,87.066,86.863
40,2,2,87.066,89.169,87.066,86.863
41,2,2,87.066,89.169,87.066,86.863
42,2,2,86.12,88.539,86.12,85.866
43,2,2,85.804,88.333,85.804,85.532
44,2,2,85.804,88.333,85.804,85.532
45,2,2,86.12,88.539,86.12,85.866
46,2,2,86.12,88.539,86.12,85.866
47,2,2,85.804,88.333,85.804,85.532
48,2,2,85.804,88.333,85.804,85.532
49,2,2,85.804,88.333,85.804,85.532
50,2,2,85.804,88.333,85.804,85.532
0,5,0,84.543,86.252,84.543,84.312
1,5,0,84.543,86.252,84.543,84.312
2,5,0,84.543,86.252,84.543,84.312
3,5,0,84.543,86.252,84.543,84.312
4,5,0,84.543,86.252,84.543,84.312
5,5,0,84.543,86.252,84.543,84.312
6,5,0,84.543,86.252,84.543,84.312
7,5,0,84.543,86.252,84.543,84.312
8,5,0,84.543,86.252,84.543,84.312
9,5,0,84.543,86.252,84.543,84.312
10,5,0,84.543,86.252,84.543,84.312
11,5,0,84.543,86.252,84.543,84.312
12,5,0,84.543,86.252,84.543,84.312
13,5,0,84.543,86.252,84.543,84.312
14,5,0,84.543,86.252,84.543,84.312
15,5,0,84.543,86.252,84.543,84.312
16,5,0,84.543,86.252,84.543,84.312
17,5,0,84.543,86.252,84.543,84.312
18,5,0,84.543,86.252,84.543,84.312
19,5,0,84.543,86.252,84.543,84.312
20,5,0,84.543,86.252,84.543,84.312
0,5,1,83.281,85.069,83.281,82.965
1,5,1,82.65,84.394,82.65,82.322
2,5,1,82.65,84.394,82.65,82.322
3,5,1,82.65,84.394,82.65,82.322
4,5,1,82.65,84.394,82.65,82.322
5,5,1,82.65,84.394,82.65,82.322
6,5,1,82.65,84.394,82.65,82.322
7,5,1,82.65,84.394,82.65,82.322
