,0
stam3_ncaa_ANAD_LR_0.02_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step25
stam3_ncaa_ANAD_LR_0.02_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step5
stam3_ncaa_ANAD_LR_0.1_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step2
stam3_ncaa_ANAD_LR_0.1_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step5
stam3_ncaa_CHAINS_LR_0.02_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step2
stam3_ncaa_CHAINS_LR_0.02_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step25
stam3_ncaa_CHAINS_LR_0.1_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step5
stam3_ncaa_CHAINS_LR_0.1_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step5
stam3_ncaa_voice_LR_0.02_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step2
stam3_ncaa_voice_LR_0.02_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step5
stam3_ncaa_voice_LR_0.1_ratio_1_1_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step25
stam3_ncaa_voice_LR_0.1_ratio_1_3_200_insta.pickle-improvement-aggregation.xlsx,KNNModel_step10
